,alpha_A,alpha_B,alpha_C,alpha_D,alpha_E,alpha_F,alpha_G,beta_A,beta_B,beta_C,beta_D,beta_E,beta_F,beta_G,gamma_A,gamma_B,gamma_C,gamma_D,gamma_E,gamma_F,gamma_G,theta_A,theta_B,theta_C,theta_D,theta_E,theta_F,theta_G
A,-0.07685025190119836,0.0734367260988811,0.10469593142044349,0.12769579534486566,-2.0814145835186446,2.566385889043739,-0.7418502229409837,0.15309155513554587,0.10915312888998484,0.022352498984159273,-0.1273576537828392,1.0260109773876491,-0.6488834293392739,-3.5083184412806796,0.01111236282730982,-0.00844567727036225,-0.0082338997842754,0.009476400388197598,-0.5720823593512442,-0.0029955777638524957,0.09914995236940966,0.09614827345322041,0.11256018012145613,0.233792181389509,0.3160695615677119,3.2990955969156968,-0.545524849635968,5.001887344078643
B,-0.048931446432876766,0.010868793236367164,0.26155197072988967,-0.1005216657973436,1.8476724761669925,0.1190625404909209,-0.009296810402364138,0.0992250159356787,0.11849215598745827,-0.16569762594574794,0.19449311220499457,-2.9319256266930513,0.2759387515866149,-2.532818177002323,0.007669312384371049,-0.010883062862030909,-0.004527857301959013,0.005349807347292776,-0.08275938067802903,-0.00372530021100211,0.10028125624694889,0.07563501250257462,0.1597225185200667,0.18343825963882054,0.2616700737242166,2.273632372619896,-0.7519066465088852,3.737495348092545
C,-0.044075367044449615,0.07213094871107686,0.2881438346880525,-0.4011507543654415,-1.6788070787587954,4.8651137077586695,-0.7554231459687244,0.07212808694347606,0.07675376935454203,-0.2821390452200326,-0.04680985780744634,6.221564447796169,-2.137423045728781,-2.6056317515660843,0.019262923539571035,-0.008406718460579277,-0.0007211878519895919,0.017548571262867362,-0.40988749927627144,-0.18466192783541482,0.038175914852315536,0.09678638625369594,0.08904776851159442,0.31614835709999023,0.7628720022405238,1.3861036784726521,-0.3934452056712604,4.2046844487693615
D,0.020633686806765018,-0.10699289339769805,0.42541751932437327,-0.13641969496171807,0.27596549554547395,3.2160188634965343,-1.1541473092018033,0.1704505187718408,-0.1637514118300979,-0.11318932167222141,0.4537077591127311,-3.3022526293664622,-1.7377737835104718,-1.8249615309954825,0.024589702979407,-0.012670011209795473,0.004877437422328964,0.01902531082925173,-0.580798931989181,0.038676016562127324,-0.039829420388198006,-0.019106274381017904,0.551382670997806,0.010274845141711793,0.10195390718341889,6.133204271851859,-0.1237246256951191,4.231844976927701
E,-0.16594486532990893,0.2069824784913843,0.14815021339894408,-0.07266141664124826,1.4861108896803938,-0.26396529880060765,-0.07248764198486352,0.35717320906892264,-0.20666594817228195,1.2345945709384454,-1.3346910454196221,17.328865317525796,-3.4770297223789046,-12.017910262467069,-0.0023586694456536024,0.00993565046411113,-0.010129838763986711,0.033470654072304235,-2.1653175581589337,0.39759487887674627,0.4958420156679283,-0.0866703873956405,0.20327374149084543,-1.201776700833315,1.6396542155313605,3.344627841744762,-0.03655285544313378,12.131230849906729
F,0.09709591849492186,0.0754016257552954,0.02638978664596197,-0.054335257018033795,8.015984276043158,-1.5075683794060233,-1.1899603251525823,-0.017610463499962044,0.0882060505888806,0.2097955378043236,0.05090734683104207,-6.7705819929850115,3.8166315877378603,-0.08843948022064309,0.028488219449648498,-0.013212382553662859,0.00537400950635047,0.02238745276941999,0.13150246722117317,-0.655023868456242,-0.11286786227864176,0.026393907751046837,0.13105029607354163,-0.10453340227607548,0.39148252961459595,1.7072245015257348,2.0517976069907857,1.0425934775242032
G,-0.04024674221159388,0.0368838087210511,0.5133128502453522,-0.06537690952558305,9.666081066707774,-3.4862729743153547,-2.7195127861818693,0.1524152744752158,0.0980820205614386,-0.067341146319361,-0.10543052897921629,-5.050421109794839,1.182547247885777,-3.3416318779083656,0.0013906634768100217,-0.010563675865555355,0.003867060233281394,0.05070937583036706,-1.6368887488252382,0.5493465523488201,-0.08367588294358068,0.05168015293231089,0.09016794178966595,-0.3016034190132929,0.14476911666596023,5.085725329029197,-1.7761019114122591,9.258280162661586
