,county,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c
20,CANDLER,0.0053679999999999995,0.006325,0.0,0.007342,0.007463,0.006667000000000001,0.0041670000000000006,0.006429000000000001,0.0,0.003971,0.00486,0.01,0.005,0.006667000000000001,0.0,0.0045000000000000005,0.003333,0.0,0.0035960000000000002,0.0033039999999999996,0.008
21,CARROLL,0.00472,0.006094,0.006667000000000001,0.006694,0.006986,0.006825,0.00575,0.0064010000000000004,0.01,0.00458,0.005581,0.003333,0.004835000000000001,0.004421,0.01,0.004645,0.00548,0.006,0.004355,0.005001,0.0052
22,CATOOSA,0.005118,0.006437000000000001,0.0,0.006842,0.007016,0.007568,0.005274999999999999,0.006296,0.01,0.005329999999999999,0.006187000000000001,0.0,0.004909,0.005102,0.0,0.004689,0.005078,0.0,0.004797999999999999,0.005017000000000001,0.007097
23,CHARLTON,0.005111,0.006242,0.0,0.006979000000000001,0.006818000000000001,0.005,0.008421,0.00625,0.0,0.0075,0.002632,0.0,0.00625,0.002,0.0,0.0037929999999999995,0.0060609999999999995,0.01,0.003981,0.004964,0.01
24,CHATHAM,0.004759,0.0063159999999999996,0.003398,0.006444,0.006803,0.006581999999999999,0.005286999999999999,0.005694,0.008,0.004101,0.004734,0.004706,0.004057,0.0051259999999999995,0.0,0.004592,0.005196999999999999,0.003846,0.0040880000000000005,0.004903,0.0046
25,CHATTAHOOCHEE,0.003908,0.0046029999999999995,0.0,0.004034,0.004266,0.0,0.000833,0.0028000000000000004,0.0,0.002195,0.00223,0.0,0.003333,0.005,0.0,0.002273,0.003846,0.0,0.0015539999999999998,0.002105,0.01
26,CHATTOOGA,0.00555,0.006973999999999999,0.0,0.007143999999999999,0.00713,0.01,0.005,0.006429000000000001,0.0,0.005,0.004861,0.0,0.005,0.008333,0.0,0.004,0.004231,0.0,0.004446,0.005069000000000001,0.01
27,CHEROKEE,0.0062380000000000005,0.007199,0.006923,0.0075239999999999994,0.007781999999999999,0.006489,0.0065379999999999995,0.007304000000000001,0.01,0.0059499999999999996,0.006737999999999999,0.007857,0.006319,0.006613,0.0,0.006377000000000001,0.0068579999999999995,0.01,0.005503,0.005948,0.007349
28,CLARKE,0.004604,0.005903,0.004,0.006916,0.0071909999999999995,0.0075,0.0055520000000000005,0.006575,0.006,0.005254999999999999,0.006308,0.005714,0.005410000000000001,0.006486,0.0,0.005583,0.006043,0.011667,0.004399,0.005131,0.00614
29,CLAY,0.005325,0.006512,0.005,0.007711,0.007996,0.01,0.0,0.003333,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003333,0.004884,0.0
30,CLAYTON,0.004995,0.0062580000000000005,0.004614999999999999,0.0058119999999999995,0.00623,0.005,0.004896,0.0054659999999999995,0.005,0.003996,0.005085999999999999,0.003846,0.003271,0.0045579999999999996,0.0025,0.003981,0.005141,0.0036840000000000006,0.003628,0.0050149999999999995,0.00248
31,CLINCH,0.004644,0.005746,0.01,0.007237,0.007155,0.01,0.002,0.00875,0.0,0.004706,0.003333,0.0,0.006,0.007143,0.0,0.001111,0.005882000000000001,0.0,0.003759,0.004324,0.0
32,COBB,0.006009,0.0069689999999999995,0.005437,0.007483,0.0077989999999999995,0.006767,0.0069299999999999995,0.0072829999999999995,0.007940999999999998,0.005432,0.0064150000000000006,0.006470999999999999,0.005447,0.005839,0.0,0.005987,0.006620999999999999,0.005870000000000001,0.0052770000000000004,0.0060680000000000005,0.005985000000000001
33,COFFEE,0.004396,0.005652000000000001,0.001111,0.006693000000000001,0.0066890000000000005,0.005625,0.005857,0.006522,0.0,0.0036119999999999998,0.004489,0.006667000000000001,0.0052380000000000005,0.003333,0.0,0.003636,0.00382,0.01,0.002641,0.003118,0.005556
