,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
0,APPLING,0.1555396882065929,0.7832916815423063,0.004165179102701417,0.01297155777698441,0.0010710460549803642,0.0040461739854813755,0.038914673330953234
1,ATKINSON,0.18724344805809914,0.7290811493526997,0.000947268708556994,0.05083675402589201,0.000947268708556994,0.003789074834227976,0.02715503631196716
2,BACON,0.08579375267436885,0.8581514762516046,0.0023534445870774497,0.010269576379974325,0.0006418485237483953,0.0036371416345742404,0.03915275994865212
3,BAKER,0.3830877642536835,0.5707879564381807,0.0064061499039077515,0.0064061499039077515,0.0012812299807815502,0.0025624599615631004,0.029468289557975657
4,BALDWIN,0.37493185039799365,0.5722385781267038,0.008123432559153855,0.007796314469523498,0.0008723149056809508,0.005670046886926181,0.0303674626540181
5,BANKS,0.01542474764659181,0.9082454349552002,0.0069184529885448565,0.01791992741295225,0.0015878416695020983,0.006124532153793808,0.04377906317341499
6,BARROW,0.10844955742914926,0.7514511596144249,0.01594305675938329,0.04627951566727077,0.0017597772699813516,0.012029522233603866,0.06408741102618654
7,BARTOW,0.0833086507513378,0.8082262109274727,0.006476709515629011,0.026203029046462493,0.0017968919692751219,0.009181920502339909,0.06480658728748297
8,BEN HILL,0.30321406913280774,0.6479684657368102,0.005457853244390539,0.012280169799878714,0.0009096422073984233,0.005306246209824136,0.024863553668890235
9,BERRIEN,0.08414822439526505,0.8636129696345857,0.0025733401955738548,0.010936695831188883,0.002058672156459084,0.004632012352032939,0.032038085434894496
10,BIBB,0.48260124698084594,0.4473403358984441,0.012329382688310958,0.009254058304780093,0.0016289389428747964,0.010321294163904959,0.03652474302083918
11,BLECKLEY,0.1619546247818499,0.7982547993019197,0.0054101221640488655,0.00506108202443281,0.0010471204188481676,0.006457242582897033,0.02181500872600349
12,BRANTLEY,0.021618122977346277,0.9346278317152104,0.0015533980582524273,0.004142394822006472,0.002071197411003236,0.005954692556634304,0.030032362459546925
13,BROOKS,0.305137227304715,0.625615763546798,0.003377902885292048,0.012526389866291345,0.0014074595355383533,0.008866995073891626,0.04306826178747361
14,BRYAN,0.1288519353626456,0.7325253664036077,0.01479706877113867,0.030016910935738446,0.002959413754227734,0.015689590379556556,0.0751597143930853
15,BULLOCH,0.201548335869781,0.7013167471713094,0.007807847548468206,0.011811023622047244,0.0012241116919208628,0.010024482233838417,0.06626745186263482
16,BURKE,0.42293740117198403,0.5162310482745791,0.0029764673053669427,0.006790066040368338,0.0014882336526834713,0.006790066040368338,0.0427867175146498
17,BUTTS,0.1996787556006425,0.7198410685603178,0.002620677994758644,0.00972186998055626,0.001606221996787556,0.007101191985797616,0.059430213881139574
18,CALHOUN,0.5414767547857794,0.4220601640838651,0.005013673655423883,0.0022789425706472195,0.0,0.0031905195989061076,0.025979945305378303
19,CAMDEN,0.155939761063436,0.6574541477368332,0.01060070671378092,0.020696617869762745,0.0021033148241628805,0.013629480060575468,0.13957597173144876
20,CANDLER,0.1919945725915875,0.7284034373586612,0.003165988240615106,0.018091361374943465,0.0009045680687471732,0.003165988240615106,0.054274084124830396
21,CARROLL,0.14496489688459852,0.7547169811320755,0.005923650724001755,0.01714933450343718,0.001590609916630101,0.010914874945151382,0.0647396518941056
22,CATOOSA,0.018464825270868304,0.8748054326262781,0.006592400427285213,0.009339233938654051,0.001587059362124218,0.00552418739508622,0.08368686097970396
23,CHARLTON,0.1694729936584299,0.72097091624754,0.005685545593702165,0.004373496610540126,0.001312048983162038,0.006997594576864203,0.09118740432976165
24,CHATHAM,0.33539697084832637,0.5482794329094309,0.015622555483539325,0.02100887289631898,0.002018937785426398,0.015190458097728508,0.06248277197922952
25,CHATTAHOOCHEE,0.2741020793950851,0.5816005040957782,0.010712035286704474,0.04221802142407057,0.002520478890989288,0.01890359168241966,0.06994328922495274
26,CHATTOOGA,0.06065103393687543,0.8506975363609379,0.0027703571781933314,0.007618482240031661,0.0017809439002671415,0.005441773028594043,0.07103987335510042
27,CHEROKEE,0.05314305786091616,0.8046393421170442,0.012989606936973546,0.0352565206311599,0.0015565488694358543,0.013423512152789734,0.07899141143168059
28,CLARKE,0.21907281187851171,0.6316155316560792,0.018285030217605375,0.03649282693904346,0.001563978297387577,0.016894827286594197,0.07607499372477844
29,CLAY,0.493006993006993,0.4755244755244755,0.0006993006993006993,0.002797202797202797,0.0,0.0006993006993006993,0.02727272727272727
30,CLAYTON,0.7262166572077186,0.11271814699205449,0.02709988649262202,0.035604072077185016,0.0016937429057888762,0.021752624858115778,0.07491486946651532
31,CLINCH,0.219435736677116,0.7311041448972484,0.002786485545106235,0.004876349703935911,0.002786485545106235,0.0038314176245210726,0.035179380006966215
