tweet_id,city,state,lat,long
1.3165305719050322e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165337266633892e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316534860060729e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316536809166377e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316542145243816e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316545921933611e+18,Savannah,Georgia,32.0809263,-81.09117679999999
1.3165494150884106e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165499726162698e+18,,Georgia,33.892176,-84.29882959999999
1.3165531215066565e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165549844277862e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165567113947628e+18,,Georgia,33.71567,-83.79879
1.316558978294444e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165599667533906e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316561491416449e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165671980690678e+18,,Georgia,32.329380900000004,-83.1137366
1.3165719193580872e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3165869305581732e+18,Augusta,Georgia,33.4709714,-81.9748429
1.316588900798935e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316605732549165e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3166073748709417e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3166316582384435e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3166508673664696e+18,,Georgia,34.0659329,-84.67687959999999
1.316673439068033e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3166748122998784e+18,Atlanta,Georgia,33.6784414,-84.3499249
1.3166769896302715e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167071251255788e+18,,Georgia,34.1650972,-84.7999383
1.3167075563001242e+18,,Georgia,34.407708500000005,-84.1356771
1.31670866797525e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167088256684974e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316711241419821e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167114181593006e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167168888571535e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167187050495631e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167220013781934e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167230306898289e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.31672536991189e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167372800741868e+18,,Georgia,33.9562149,-83.9879625
1.3167374430607565e+18,,Georgia,33.8389977,-83.90073819999999
1.316741267909419e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167416576777544e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167429450186506e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167444651895685e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167520213457838e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316753439414727e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167544680846172e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167611321792225e+18,,Georgia,33.5442781,-84.2338093
1.3167621775551035e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167707882808074e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167812202907566e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167874180544307e+18,,Georgia,34.0659329,-84.67687959999999
1.3167939591386808e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316795051167617e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3167999735860224e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168009529685445e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168010578346353e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168051765571748e+18,,Georgia,33.806216600000006,-84.1457505
1.3168088851860398e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168128187763057e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168148569815368e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168179172337254e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168215829674516e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168216606542395e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168270310285883e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316831353846018e+18,,Georgia,31.7704898,-81.753725
1.316831802829439e+18,,Georgia,31.7704898,-81.753725
1.3168323915252736e+18,,Georgia,34.0709576,-84.2747329
1.3168325640118272e+18,,Georgia,31.7704898,-81.753725
1.3168335337475072e+18,,Georgia,31.7704898,-81.753725
1.316841492300927e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168418805215027e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168422207634678e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.3168467635050578e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
1.316847951931736e+18,,Georgia,34.0709576,-84.2747329
1.316851379189801e+18,Atlanta,Georgia,33.749098700000005,-84.39018490000001
