COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN UNKOWN,TOTAL VOTERS
EFFINGHAM,51,1491,2219,4,11705,12787,30,81,125,1,249,296,3,40,37,0,136,146,0,1060,1255,20,31685
ELBERT,52,756,1326,0,3061,3515,2,19,26,1,37,49,0,1,10,0,25,29,0,186,168,8,9219
EMANUEL,53,841,1544,2,3059,3532,5,17,22,0,25,37,0,1,5,0,21,21,0,216,212,2,9562
EVANS,54,358,617,0,1392,1610,2,7,10,0,23,34,0,2,2,0,15,19,0,88,86,0,4265
FANNIN,55,4,7,0,6639,7322,11,12,34,0,35,57,0,16,24,1,44,35,2,335,331,2,14911
FAYETTE,56,7072,9384,31,20619,23101,68,711,941,7,808,1093,3,50,56,1,531,694,3,3243,3772,47,72235
FLOYD,57,1595,2768,3,15396,17804,27,162,201,3,424,547,2,22,19,0,100,138,1,1146,1227,12,41597
FORSYTH,58,1774,2315,15,39959,45256,195,4864,5224,36,1855,2424,12,116,151,2,1043,1219,8,11553,11694,268,129983
FRANKLIN,59,203,311,0,4581,4997,4,34,33,0,37,48,0,10,3,0,16,31,1,262,248,0,10819
FULTON,60,73955,113438,261,115672,123747,462,9797,10910,104,6154,7722,42,342,377,2,5067,6707,78,23956,27942,644,527379
GILMER,61,26,21,0,7320,7899,18,17,36,0,127,173,0,10,12,0,55,55,1,391,400,2,16563
GLASCOCK,62,28,51,0,684,760,1,2,2,0,0,1,0,0,1,0,2,3,0,21,17,0,1573
GLYNN,63,2735,4672,10,13803,16719,49,180,227,1,281,362,2,38,36,0,176,213,0,1232,1476,15,42227
GORDON,64,339,448,0,9848,11138,10,86,93,1,448,628,2,25,26,0,80,90,0,434,431,2,24129
GRADY,65,955,1649,3,3416,4032,7,12,19,0,63,69,0,8,7,0,33,38,1,189,234,3,10738
GREENE,66,889,1608,0,3839,4155,7,25,41,1,44,63,0,1,5,0,29,24,1,277,303,5,11317
GWINNETT,67,46988,68008,405,85980,96147,416,17152,19044,198,13759,19215,152,408,427,3,5409,7035,76,15671,19345,765,416603
HABERSHAM,68,132,177,0,8631,9712,12,75,89,0,238,295,1,9,11,0,52,71,0,483,515,6,20509
HALL,69,2128,3226,8,32352,36876,118,475,600,8,2822,3797,32,68,70,0,420,527,1,3384,3673,52,90637
HANCOCK,70,1099,1657,1,619,607,2,4,4,0,7,2,0,3,1,0,8,11,0,73,79,1,4178
HARALSON,71,187,251,0,6193,6898,13,27,42,0,32,35,0,8,13,0,38,31,1,254,271,3,14297
HARRIS,72,1214,1563,4,7453,8144,10,53,98,1,150,172,1,19,16,0,96,107,0,497,507,4,20109
HART,73,589,986,0,4950,5486,14,52,55,0,36,42,0,6,7,0,28,26,0,241,288,4,12810
HEARD,74,166,268,0,2251,2434,7,8,16,0,14,18,1,4,10,0,17,22,0,93,81,0,5410
HENRY,75,22027,33745,63,22828,25760,49,993,1251,9,1331,1924,7,80,90,0,1459,2070,5,4233,5578,62,123564
HOUSTON,76,8457,13202,30,21445,23499,50,649,879,6,701,929,4,49,64,2,460,642,3,1943,2082,48,75144
IRWIN,77,275,514,0,1559,1675,2,9,8,0,11,19,0,1,6,0,4,4,0,49,43,1,4180
JACKSON,78,852,1185,3,14963,16696,30,190,245,2,495,615,1,22,27,0,147,201,1,1070,1087,13,37845
JASPER,79,466,706,0,2978,3253,3,8,9,0,25,30,0,7,4,0,20,12,0,63,63,0,7647
JEFF DAVIS,80,286,451,0,2203,2560,6,6,6,0,43,63,0,1,4,0,7,9,0,76,71,1,5793
JEFFERSON,81,1312,2311,8,1716,1871,2,4,7,0,13,14,0,3,3,0,14,22,1,181,198,3,7683
JENKINS,82,406,705,0,1012,1151,2,3,5,1,6,4,0,1,1,0,1,9,0,93,60,0,3460
JOHNSON,83,408,699,0,1367,1539,1,11,5,0,2,3,0,1,1,0,5,0,0,33,41,0,4116
JONES,84,1483,2140,0,5094,5751,5,21,43,0,33,54,0,13,9,0,51,54,0,145,129,0,15025
LAMAR,85,709,1155,0,3118,3509,3,13,12,0,20,33,0,4,12,0,25,38,0,193,225,0,9069
LANIER,86,287,402,0,1221,1389,2,8,17,0,25,35,0,4,8,0,16,20,0,73,82,0,3589
LAURENS,87,2486,4226,5,6960,7894,11,77,84,1,65,77,0,6,14,1,73,95,0,350,380,5,22810
LEE,88,1229,1855,3,5809,6550,16,100,119,1,66,97,1,11,12,0,60,54,0,389,401,7,16780
LIBERTY,89,4109,5972,8,3706,4164,7,114,241,0,431,587,0,17,36,0,172,274,0,741,890,8,21477
LINCOLN,90,464,677,0,1581,1656,0,3,7,0,8,6,0,2,5,0,9,11,1,113,125,0,4668
LONG,91,583,822,0,1645,1776,2,22,43,0,107,119,0,10,11,0,49,63,1,206,222,4,5685
LOWNDES,92,5193,8717,10,13483,15358,24,222,325,1,369,510,4,61,65,0,392,565,3,562,626,13,46503
LUMPKIN,93,37,49,0,6786,7482,9,26,39,0,89,114,0,35,31,0,58,57,0,417,378,5,15612
MACON,94,1026,1604,0,887,924,2,28,19,0,9,25,0,1,0,0,5,3,0,68,65,1,4667
MADISON,95,467,693,0,5965,6585,19,62,84,0,84,116,0,15,12,0,45,57,1,385,395,6,14991
MARION,96,413,646,0,1144,1218,3,9,14,0,26,29,0,2,4,0,8,18,0,58,51,1,3644
