,county,tweets,contribution,n_poll,fr_unem,fr_votes,total_votes,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G,voted_A_a,voted_A_b,voted_A_c,voted_B_a,voted_B_b,voted_B_c,voted_C_a,voted_C_b,voted_C_c,voted_D_a,voted_D_b,voted_D_c,voted_E_a,voted_E_b,voted_E_c,voted_F_a,voted_F_b,voted_F_c,voted_G_a,voted_G_b,voted_G_c,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G,total_registers,latitude,longitude
10,BIBB,0,5256286,31,0.127105325,0.614532275,71212,25940,33525,56,21100,24033,51,756,718,6,611,784,2,129,124,1,689,876,8,3358,3059,54,59521,45184,1480,1397,254,1573,6471,0.22385226095961339,0.289307905,0.000483259,0.1820849154297549,0.20739558163617536,0.00044011,0.00652399,0.006196065,5.177770107007249e-05,0.005272696,0.00676562,1.725923369002416e-05,0.001113221,0.001070072,8.62961684501208e-06,0.005945806,0.007559544,6.903693476009665e-05,0.028978253365550568,0.026397997928891956,0.000465999,0.5136434242319641,0.3899206075250259,0.012771833,0.012055574732481878,0.002191923,0.013574387297204005,0.055842250604073176,12771,21582,14,14588,17243,25,441,434,3,250,408,1,48,68,0,288,445,2,1201,1381,19,34367,31856,878,659,116,735,2601,0.004923,0.006438,0.0025,0.006914,0.007175,0.004902,0.005833,0.006045,0.005,0.004092,0.005204,0.005,0.003721,0.005484,0,0.00418,0.00508,0.0025,0.003577,0.004515,0.003519,0.48260124698084594,0.4473403358984441,0.012329382688310958,0.009254058,0.001628939,0.010321294163904959,0.036524743,115880,32.8065,-83.6974
11,BLECKLEY,0,146430,1,0.121522411,0.715445124,5730,673,943,0,2816,3074,2,28,24,0,28,33,0,6,3,0,25,34,0,160,158,2,1616,5892,52,61,9,59,320,0.084030466,0.11774253964290174,0,0.3516044449993757,0.3838182045199151,0.000249719,0.003496067,0.002996629,0,0.003496067,0.004120365,0,0.000749157,0.000374579,0,0.003121488,0.004245224,0,0.019977525,0.019727806218004743,0.000249719,0.20177300536895992,0.7356723685853415,0.006492696,0.007616432,0.001123736,0.007366712,0.039955051,333,595,0,2171,2402,1,15,16,0,14,15,0,4,2,0,16,21,0,68,56,1,928,4574,31,29,6,37,125,0.004948,0.00631,0,0.00771,0.007814,0.005,0.005357,0.006667,0,0.005,0.004545,0,0.006667,0.006667,0,0.0064,0.006176,0,0.00425,0.003544,0.005,0.1619546247818499,0.7982547993019197,0.005410122,0.005061082,0.00104712,0.006457243,0.021815009,8009,32.4345,-83.3278
12,BRANTLEY,0,72142,3,0.150804372,0.650635897,7725,136,156,0,5138,5629,9,10,10,0,31,32,0,17,10,0,30,43,0,368,252,2,292,10776,20,63,27,73,622,0.011454561,0.013139054998736629,0,0.43274656784300514,0.4741009012044134,0.000758022,0.000842247,0.000842247,0,0.002610966,0.002695191,0,0.00143182,0.000842247,0,0.002526741,0.003621663,0,0.030994693843173587,0.021224627,0.000168449,0.024593615766865997,0.9076054914511917,0.001684494,0.005306157,0.002274067,0.006148404,0.052387771,60,107,0,3399,3817,4,6,6,0,16,16,0,10,6,0,20,26,0,128,102,2,167,7220,12,32,16,46,232,0.004412,0.006859,0,0.006615,0.006781,0.004444,0.006,0.006,0,0.005161,0.005,0,0.005882,0.006,0,0.006667,0.006047,0,0.003478,0.004048,0.01,0.021618122977346277,0.9346278317152104,0.001553398,0.004142395,0.002071197,0.005954693,0.030032362459546925,11873,31.1969,-81.9819
13,BROOKS,8,240318,7,0.126510989,0.62150105,7105,1767,2219,0,3131,3338,3,11,25,0,83,113,0,7,14,0,50,57,1,304,309,0,3986,6472,36,196,21,108,613,0.15456613016095172,0.1941042687193842,0,0.2738803358992302,0.29198740377886634,0.000262421,0.000962211,0.002186844,0,0.007260322,0.009884535,0,0.000612316,0.001224633,0,0.004373688,0.004986004,8.74737578726382e-05,0.026592022393282014,0.027029391182645208,0,0.3486703988803359,0.5661301609517145,0.003149055,0.017144856543037088,0.001836949,0.009447166,0.053621414,817,1351,0,2106,2336,3,8,16,0,30,59,0,2,8,0,26,36,1,134,172,0,2168,4445,24,89,10,63,306,0.004624,0.006088,0,0.006726,0.006998,0.01,0.007273,0.0064,0,0.003614,0.005221,0,0.002857,0.005714,0,0.0052,0.006316,0.01,0.004408,0.005566,0,0.305137227,0.625615764,0.003377903,0.012526389866291345,0.00140746,0.008866995,0.043068262,11432,30.842,-83.5802
14,BRYAN,0,1639194,10,0.075315812,0.644212438,21288,1956,2343,8,11019,12052,30,231,298,2,530,633,2,62,46,0,255,332,2,1607,1611,26,4307,23101,531,1165,108,589,3244,0.059192010894235134,0.070903314,0.000242094,0.3334543803903768,0.36471478287184145,0.000907853,0.006990468,0.009018006,6.0523528521712814e-05,0.016038735058253897,0.019155696777122106,6.0523528521712814e-05,0.001876229,0.001392041,0,0.00771675,0.010046905734604327,6.0523528521712814e-05,0.048630655167196245,0.048751702224239676,0.000786806,0.13033741867150855,0.6990770161900439,0.016068996822514753,0.035254955363897715,0.003268271,0.017824179149644424,0.098169163,1164,1573,6,7308,8263,23,136,178,1,278,360,1,36,27,0,130,203,1,741,840,19,2743,15594,315,639,63,334,1600,0.005951,0.006714,0.0075,0.006632,0.006856,0.007667,0.005887,0.005973,0.005,0.005245,0.005687,0.005,0.005806,0.00587,0,0.005098,0.006114,0.005,0.004611,0.005214,0.007308,0.1288519353626456,0.7325253664036077,0.014797069,0.030016910935738446,0.002959414,0.015689590379556556,0.075159714,33045,32.0145,-81.4436
15,BULLOCH,2,1504618,16,0.098111148,0.628124935,30226,4864,6642,12,14134,15600,37,186,214,0,332,368,1,39,31,1,258,323,1,2710,2350,18,11518,29771,400,701,71,582,5078,0.10107853120259347,0.13802705679433097,0.000249371,0.29371791941148356,0.32418278921884414,0.000768895,0.003865256,0.004447123,0,0.006899275,0.007647389,2.0780948026848984e-05,0.000810457,0.000644209,2.0780948026848984e-05,0.005361485,0.006712246,2.0780948026848984e-05,0.056316369,0.048835228,0.000374057,0.2393549593732466,0.6186696037073212,0.008312379,0.014567445,0.001475447,0.012094511751626109,0.10552565408033915,2278,3806,8,9947,11227,24,95,141,0,160,197,0,19,17,1,134,169,0,1025,968,10,6092,21198,236,357,37,303,2003,0.004683,0.00573,0.006667,0.007038,0.007197,0.006486,0.005108,0.006589,0,0.004819,0.005353,0,0.004872,0.005484,0.01,0.005194,0.005232,0,0.003782,0.004119,0.005556,0.201548336,0.7013167471713094,0.007807848,0.011811023622047244,0.001224112,0.010024482233838417,0.066267452,48121,32.3968,-81.7432
16,BURKE,0,210258,16,0.110702101,0.637625289,10751,3177,4164,5,3799,4054,11,26,31,0,75,78,1,20,13,0,63,81,1,727,532,3,7346,7864,57,154,33,145,1262,0.18842298796038195,0.24696044125496708,0.000296542,0.22531285214400096,0.2404365102900184,0.000652393,0.00154202,0.001838562,0,0.004448135,0.00462606,5.930846331771544e-05,0.001186169,0.00077101,0,0.003736433,0.004803986,5.930846331771544e-05,0.043117252831979126,0.031552102485024616,0.000177925,0.4356799715319376,0.4664017555305142,0.003380582,0.009133503,0.001957179,0.008599727,0.074847281,1727,2818,2,2673,2871,6,13,19,0,27,46,0,10,6,0,34,39,0,221,238,1,4547,5550,32,73,16,73,460,0.005436,0.006768,0.004,0.007036,0.007082,0.005455,0.005,0.006129,0,0.0036,0.005897,0,0.005,0.004615,0,0.005397,0.004815,0,0.00304,0.004474,0.003333,0.42293740117198403,0.5162310482745791,0.002976467,0.006790066,0.001488234,0.006790066,0.042786718,16861,33.0611,-82.0007
17,BUTTS,0,385188,1,0.103528664,0.660210973,11829,1776,2119,5,5820,6283,12,20,33,0,109,104,0,34,17,0,88,74,1,724,693,5,3900,12115,53,213,51,163,1422,0.099123737,0.11826756711503042,0.000279065,0.3248311659317966,0.3506725456270581,0.000669755,0.001116258,0.001841826,0,0.006083608,0.005804543,0,0.001897639,0.00094882,0,0.004911537,0.004130156,5.581291510855612e-05,0.040408551,0.03867835,0.000279065,0.21767036892336886,0.6761734665401574,0.002958085,0.011888150918122453,0.002846459,0.009097505,0.079365965,915,1444,3,4015,4493,7,8,23,0,49,66,0,12,7,0,48,35,1,309,389,5,2362,8515,31,115,19,84,703,0.005152,0.006815,0.006,0.006899,0.007151,0.005833,0.004,0.00697,0,0.004495,0.006346,0,0.003529,0.004118,0,0.005455,0.00473,0.01,0.004268,0.005613,0.01,0.1996787556006425,0.7198410685603178,0.002620678,0.00972187,0.001606222,0.007101192,0.059430213881139574,17917,33.2879,-83.9572
18,CALHOUN,0,271464,5,0.172772277,0.677997528,2194,781,1075,2,555,610,1,13,13,0,13,11,0,0,0,0,7,5,0,74,71,5,1858,1166,26,24,0,12,150,0.24134734239802225,0.3322002472187886,0.000618047,0.1715080346106304,0.188504326,0.000309023,0.004017305,0.004017305,0,0.004017305,0.003399258,0,0,0,0,0.002163164,0.001545117,0,0.022867737948084055,0.021940667490729295,0.001545117,0.5741656365883807,0.36032138442521633,0.008034611,0.007416564,0,0.003708282,0.046353522867737945,456,732,0,430,496,0,7,4,0,4,1,0,0,0,0,3,4,0,24,29,4,1188,926,11,5,0,7,57,0.005839,0.006809,0,0.007748,0.008131,0,0.005385,0.003077,0,0.003077,0.000909,0,0,0,0,0.004286,0.008,0,0.003243,0.004085,0.008,0.5414767547857794,0.4220601640838651,0.005013674,0.002278943,0,0.00319052,0.025979945305378303,3236,31.5292,-84.6245
19,CAMDEN,8,834516,14,0.09613593,0.589993051,23772,2699,3524,3,11213,12762,16,188,275,1,413,575,2,48,54,0,268,345,0,4053,3839,14,6226,23991,464,990,102,613,7906,0.066986002,0.087461531,7.445646778516827e-05,0.27829345775836395,0.31673781395810585,0.000397101,0.004665939,0.006825176,2.481882259505609e-05,0.010250173731758166,0.014270822992157253,4.963764519011218e-05,0.001191303,0.001340216,0,0.006651444,0.008562494,0,0.10059068797776234,0.09527946,0.000347464,0.15452198947681922,0.5954283728779907,0.011515933684106026,0.024570634,0.00253152,0.015213938250769384,0.19621761143651345,1465,2239,3,7370,8247,12,91,160,1,210,281,1,22,28,0,123,201,0,1580,1728,10,3707,15629,252,492,50,324,3318,0.005428,0.006354,0.01,0.006573,0.006462,0.0075,0.00484,0.005818,0.01,0.005085,0.004887,0.005,0.004583,0.005185,0,0.00459,0.005826,0,0.003898,0.004501,0.007143,0.155939761,0.6574541477368332,0.010600707,0.020696617869762745,0.002103315,0.013629480060575468,0.13957597173144876,40292,30.9306,-81.6699
