,county,tweets,contribution,n_poll,fr_unem,fr_votes,total_votes,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G,voted_A_a,voted_A_b,voted_A_c,voted_B_a,voted_B_b,voted_B_c,voted_C_a,voted_C_b,voted_C_c,voted_D_a,voted_D_b,voted_D_c,voted_E_a,voted_E_b,voted_E_c,voted_F_a,voted_F_b,voted_F_c,voted_G_a,voted_G_b,voted_G_c,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G,total_registers,latitude,longitude
20,CANDLER,0,63416,4,0.110823072,0.657742079,4422,639,800,1,2047,2294,9,12,14,0,68,107,1,4,3,0,20,15,0,342,342,5,1440,4350,26,176,7,35,689,0.095046854,0.11899449650453667,0.000148743,0.3044771679309832,0.3412167187267589,0.001338688,0.001784917,0.002082404,0,0.010114532202885617,0.015915514,0.000148743,0.000594972,0.000446229,0,0.002974862,0.002231147,0,0.050870147255689425,0.050870147255689425,0.000743716,0.214190094,0.6470325747434181,0.003867321,0.026178789230998065,0.001041202,0.005206009,0.1024840101145322,343,506,0,1503,1712,6,5,9,0,27,52,1,2,2,0,9,5,0,123,113,4,849,3221,14,80,4,14,240,0.005368,0.006325,0,0.007342,0.007463,0.006667,0.004167,0.006429,0,0.003971,0.00486,0.01,0.005,0.006667,0,0.0045,0.003333,0,0.003596,0.003304,0.008,0.1919945725915875,0.7284034373586612,0.003165988,0.018091361374943465,0.000904568,0.003165988,0.054274084124830396,6723,32.4034,-82.0737
21,CARROLL,2,3923672,28,0.073098467,0.635453215,54696,6543,7928,15,28819,31411,63,240,289,1,882,955,3,91,95,1,493,666,5,3828,3721,25,14486,60293,530,1840,187,1164,7574,0.076015986,0.092106792,0.000174269,0.3348165531984107,0.3649301763598764,0.000731928,0.002788298,0.003357576,1.1617910170318563e-05,0.010246996770220973,0.011095104212654227,3.485373051095569e-05,0.00105723,0.001103701,1.1617910170318563e-05,0.00572763,0.007737528,5.8089550851592814e-05,0.04447336,0.043230244,0.000290448,0.1682970467272347,0.7004786578990171,0.006157492,0.021376954713386156,0.002172549,0.013523247438250808,0.087994052,3088,4831,10,19292,21945,43,138,185,1,404,533,1,44,42,1,229,365,3,1667,1861,13,7929,41280,324,938,87,597,3541,0.00472,0.006094,0.006667,0.006694,0.006986,0.006825,0.00575,0.006401,0.01,0.00458,0.005581,0.003333,0.004835,0.004421,0.01,0.004645,0.00548,0.006,0.004355,0.005001,0.0052,0.14496489688459852,0.7547169811320755,0.005923651,0.017149335,0.00159061,0.010914874945151382,0.064739652,86074,33.5828,-85.0798
22,CATOOSA,0,714076,11,0.059740445,0.664402312,32765,508,536,1,19143,22104,74,182,189,1,227,299,1,55,49,0,177,193,0,2820,2725,31,1045,41321,372,527,104,370,5576,0.010301125418229747,0.010868903984588868,2.0277805941397142e-05,0.38817803913616544,0.4482206225286424,0.001500558,0.003690561,0.003832505,2.0277805941397142e-05,0.004603062,0.006063064,2.0277805941397142e-05,0.001115279,0.000993612,0,0.003589172,0.003913617,0,0.057183413,0.055257021,0.000628612,0.021190307,0.8378992193044713,0.007543344,0.010686403731116293,0.002108892,0.007502788,0.11306904592923046,260,345,0,13098,15509,56,96,119,1,121,185,0,27,25,0,83,98,0,1353,1367,22,605,28663,216,306,52,181,2742,0.005118,0.006437,0,0.006842,0.007016,0.007568,0.005275,0.006296,0.01,0.00533,0.006187,0,0.004909,0.005102,0,0.004689,0.005078,0,0.004798,0.005017,0.007097,0.018464825270868304,0.8748054326262781,0.0065924,0.009339234,0.001587059,0.005524187,0.083686861,49315,34.9036,-85.1382
23,CHARLTON,0,134262,8,0.143133047,0.633028793,4573,587,761,0,2241,2539,4,19,16,0,20,19,0,8,5,0,29,33,1,520,421,1,1348,4784,35,39,13,63,942,0.081256921,0.10534330011074197,0,0.31021594684385384,0.35146733111849393,0.00055371,0.002630122,0.002214839,0,0.002768549,0.002630122,0,0.00110742,0.000692137,0,0.004014396,0.004568106,0.000138427,0.071982281,0.058277962,0.000138427,0.18660022148394242,0.6622369878183831,0.004844961,0.005398671,0.001799557,0.00872093,0.1303986710963455,300,475,0,1564,1731,2,16,10,0,15,5,0,5,1,0,11,20,1,207,209,1,775,3297,26,20,6,32,417,0.005111,0.006242,0,0.006979,0.006818,0.005,0.008421,0.00625,0,0.0075,0.002632,0,0.00625,0.002,0,0.003793,0.006061,0.01,0.003981,0.004964,0.01,0.1694729936584299,0.720970916,0.005685546,0.004373497,0.001312049,0.006997595,0.091187404,7224,30.7817,-82.1379
24,CHATHAM,2,12861548,92,0.116783206,0.597452252,134229,35698,44329,103,52534,58264,158,1780,2016,10,3021,3323,17,318,277,0,1925,2213,13,9332,9138,200,80130,110956,3806,6361,595,4151,18670,0.15889152486546876,0.19730803982747955,0.000458452,0.2338284320489253,0.2593326182072293,0.000703257,0.007922766,0.008973201,4.4509923487441523e-05,0.013446447885556085,0.014790647574876819,7.566686992865059e-05,0.001415416,0.001232925,0,0.00856816,0.009850046,5.786290053367398e-05,0.041536661,0.040673168,0.000890198,0.3566580169048689,0.4938643070472562,0.016940476879320245,0.028312762330361556,0.00264834,0.018476069239636978,0.083100027,16988,27997,35,33853,39638,104,941,1148,8,1239,1573,8,129,142,0,884,1150,5,3815,4480,92,45020,73595,2097,2820,271,2039,8387,0.004759,0.006316,0.003398,0.006444,0.006803,0.006582,0.005287,0.005694,0.008,0.004101,0.004734,0.004706,0.004057,0.005126,0,0.004592,0.005197,0.003846,0.004088,0.004903,0.0046,0.33539697084832637,0.5482794329094309,0.015622555483539325,0.021008873,0.002018938,0.015190458097728508,0.062482772,224669,32.0043,-81.1329
25,CHATTAHOOCHEE,0,27018,1,0.190314621,0.364408726,1587,476,541,1,1113,1111,2,36,50,0,164,139,0,3,6,0,44,52,0,386,228,3,1018,2226,86,303,9,96,617,0.10929965556831228,0.12422502870264064,0.000229621,0.2555683122847302,0.25510907003444316,0.000459242,0.008266361,0.011481056257175661,0,0.037657864523536165,0.031917336394948335,0,0.000688863,0.001377727,0,0.010103329506314582,0.011940298507462687,0,0.088633754,0.052353617,0.000688863,0.23375430539609643,0.5111366245694604,0.019747416762342134,0.069575201,0.00206659,0.022043628013777267,0.14167623421354764,186,249,0,449,474,0,3,14,0,36,31,0,1,3,0,10,20,0,60,48,3,435,923,17,67,4,30,111,0.003908,0.004603,0,0.004034,0.004266,0,0.000833,0.0028,0,0.002195,0.00223,0,0.003333,0.005,0,0.002273,0.003846,0,0.001554,0.002105,0.01,0.2741020793950851,0.5816005040957782,0.010712035286704474,0.042218021,0.002520479,0.018903592,0.069943289,4355,32.347,-84.787
26,CHATTOOGA,16,342126,13,0.122903999,0.678777703,10107,436,532,0,5582,6457,6,20,28,0,84,72,0,16,12,0,55,78,0,785,726,1,968,12045,48,156,28,133,1512,0.029281397,0.035728677,0,0.3748824714573539,0.4336467427803895,0.000402955,0.001343183,0.001880457,0,0.00564137,0.00483546,0,0.001074547,0.00080591,0,0.003693754,0.005238415,0,0.052719946,0.048757555406312963,6.71591672263264e-05,0.065010074,0.8089321692411015,0.00322364,0.010476830087306918,0.001880457,0.008932169,0.1015446608462055,242,371,0,3988,4604,6,10,18,0,42,35,0,8,10,0,22,33,0,349,368,1,613,8598,28,77,18,55,718,0.00555,0.006974,0,0.007144,0.00713,0.01,0.005,0.006429,0,0.005,0.004861,0,0.005,0.008333,0,0.004,0.004231,0,0.004446,0.005069,0.01,0.060651034,0.8506975363609379,0.002770357,0.007618482,0.001780944,0.005441773,0.071039873,14890,34.475,-85.3453
27,CHEROKEE,0,9002114,42,0.048575085,0.733242431,145193,5157,6237,13,72801,79632,131,1196,1506,4,3662,4347,14,163,186,0,1413,1518,7,10243,9702,83,11407,152564,2706,8023,349,2938,20028,0.026043481554427695,0.031497614,6.565159205110724e-05,0.36765396560866603,0.40215135217029013,0.000661566,0.006039946,0.007605484,2.0200489861879152e-05,0.018493548468550364,0.021952882357397167,7.070171451657702e-05,0.00082317,0.000939323,0,0.007135823,0.007666086,3.535085725828851e-05,0.051728404413807036,0.048996288,0.00041916,0.057606747,0.7704668838219327,0.013665631391561244,0.040517133,0.001762493,0.014837259803550235,0.10114385273842891,3217,4490,9,54772,61971,85,782,1100,4,2179,2929,11,103,123,0,901,1041,7,5637,5771,61,7716,116828,1886,5119,226,1949,11469,0.006238,0.007199,0.006923,0.007524,0.007782,0.006489,0.006538,0.007304,0.01,0.00595,0.006738,0.007857,0.006319,0.006613,0,0.006377,0.006858,0.01,0.005503,0.005948,0.007349,0.053143058,0.8046393421170442,0.012989606936973546,0.035256521,0.001556549,0.013423512152789734,0.078991411,198015,34.244,-84.4763
28,CLARKE,0,7475102,24,0.07456722,0.629639536,51791,9172,12043,35,21848,24360,112,706,835,10,1507,1728,14,61,74,0,652,834,6,4215,3929,114,21250,46320,1551,3249,135,1492,8258,0.11150689927663972,0.14641055254999696,0.000425506,0.26561303264239255,0.2961522095921221,0.001361619,0.008583065,0.010151359,0.000121573,0.018321075,0.021007841,0.000170202,0.000741596,0.000899641,0,0.00792657,0.010139201264360829,7.29438939882074e-05,0.051243086,0.047766093,0.001385934,0.25834295787490125,0.5631268615889612,0.018855996595951614,0.039499119,0.001641238,0.018138714971734242,0.10039511275910279,4223,7109,14,15110,17518,84,392,549,6,792,1090,8,33,48,0,364,504,7,1854,2016,70,11346,32712,947,1890,81,875,3940,0.004604,0.005903,0.004,0.006916,0.007191,0.0075,0.005552,0.006575,0.006,0.005255,0.006308,0.005714,0.00541,0.006486,0,0.005583,0.006043,0.011667,0.004399,0.005131,0.00614,0.21907281187851171,0.6316155316560792,0.018285030217605375,0.036492827,0.001563978,0.016894827286594197,0.076074994,82255,33.9512,-83.3673
29,CLAY,0,68346,5,0.362570117,0.666356011,1430,477,691,2,415,449,1,2,3,0,1,3,0,1,0,0,2,2,0,54,43,0,1170,865,5,4,1,4,97,0.2222739981360671,0.32199440820130476,0.000931966,0.19338303821062441,0.2092264678471575,0.000465983,0.000931966,0.00139795,0,0.000465983,0.00139795,0,0.000465983,0,0,0.000931966,0.000931966,0,0.025163094,0.020037278657968314,0,0.5452003727865797,0.40307548928238585,0.002329916,0.001863933,0.000465983,0.001863933,0.045200372786579686,254,450,1,320,359,1,0,1,0,1,3,0,0,0,0,0,1,0,18,21,0,705,680,1,4,0,1,39,0.005325,0.006512,0.005,0.007711,0.007996,0.01,0,0.003333,0,0.01,0.01,0,0,0,0,0,0.005,0,0.003333,0.004884,0,0.493006993,0.4755244755244755,0.000699301,0.002797203,0,0.000699301,0.027272727,2146,31.6262,-84.9801
30,CLAYTON,0,2293510,65,0.068731475,0.55135188,112768,62318,80950,221,9801,11237,28,2986,2885,34,4149,4615,26,266,226,4,2253,3013,19,9144,10109,246,143489,21066,5905,8790,496,5285,19499,0.3046887987092358,0.3957854593458172,0.001080526,0.047919621,0.054940596,0.000136899,0.014599325282354667,0.014105510194103554,0.000166235,0.020285532684691732,0.022563927,0.000127121,0.001300543,0.001104972,1.9557033198063855e-05,0.011015498948809465,0.014731335256441597,9.289590769080331e-05,0.044707378,0.049425512,0.001202758,0.7015547841392461,0.10299711533760328,0.028871070258641763,0.04297658,0.002425072,0.025839730112941866,0.095335648,31130,50662,102,5696,7001,14,1462,1577,17,1658,2347,10,87,103,1,897,1549,7,3317,5070,61,81894,12711,3056,4015,191,2453,8448,0.004995,0.006258,0.004615,0.005812,0.00623,0.005,0.004896,0.005466,0.005,0.003996,0.005086,0.003846,0.003271,0.004558,0.0025,0.003981,0.005141,0.003684,0.003628,0.005015,0.00248,0.7262166572077186,0.11271814699205449,0.027099886,0.035604072077185016,0.001693743,0.021752624858115778,0.074914869,204530,33.5419,-84.3577
31,CLINCH,0,215824,5,0.144793388,0.645748988,2871,506,684,2,1397,1515,4,5,8,0,17,18,0,5,7,0,9,17,0,141,111,0,1192,2916,13,35,12,26,252,0.1138101664417454,0.15384615384615385,0.000449843,0.31421502474134055,0.3407557354925776,0.000899685,0.001124606,0.00179937,0,0.003823662,0.004048583,0,0.001124606,0.001574449,0,0.002024291,0.003823662,0,0.0317139,0.024966262,0,0.2681061628430049,0.6558704453441295,0.002923977,0.007872245,0.002699055,0.005847953,0.056680162,235,393,2,1011,1084,4,1,7,0,8,6,0,3,5,0,1,10,0,53,48,0,630,2099,8,14,8,11,101,0.004644,0.005746,0.01,0.007237,0.007155,0.01,0.002,0.00875,0,0.004706,0.003333,0,0.006,0.007143,0,0.001111,0.005882,0,0.003759,0.004324,0,0.219435737,0.7311041448972484,0.002786486,0.00487635,0.002786486,0.003831418,0.035179380006966215,4446,30.915,-82.7063
32,COBB,347,34328088,145,0.054667038,0.705949142,396682,64208,83820,160,147258,157852,266,8844,9839,34,14648,16863,51,615,620,0,6579,8455,46,20257,21107,391,148188,305376,18717,31562,1235,15080,41755,0.1142667993087898,0.14916899947144843,0.000284742,0.2620654798874559,0.28091893229022996,0.000473383,0.015739091282814244,0.017509828033877132,6.050758747350568e-05,0.026068092,0.030009983751933127,9.076138121025853e-05,0.001094475,0.001103374,0,0.011708218,0.015046813,8.186320658180181e-05,0.036050065,0.037562754,0.000695837,0.26372054036834885,0.5434577950679198,0.033309427,0.056168838,0.002197849,0.026836894679425464,0.074308656,38582,58410,87,110186,123115,180,6129,7166,27,7957,10817,33,335,362,0,3939,5598,27,10690,12808,234,97079,233481,13322,18807,697,9564,23732,0.006009,0.006969,0.005437,0.007483,0.007799,0.006767,0.00693,0.007283,0.007941,0.005432,0.006415,0.006471,0.005447,0.005839,0,0.005987,0.006621,0.00587,0.005277,0.006068,0.005985,0.24472751473472454,0.5885848110073056,0.033583576,0.047410772,0.001757075,0.024109992,0.059826259,561913,33.9415,-84.5767
33,COFFEE,0,1081070,6,0.118515954,0.593774319,15260,2864,3914,9,7494,8666,16,70,69,0,454,470,3,21,18,0,88,89,1,765,680,9,6787,16176,139,927,39,178,1454,0.1114396887159533,0.15229571984435797,0.000350195,0.2915953307392996,0.3371984435797665,0.000622568,0.002723735,0.002684825,0,0.017665369649805446,0.018287937743190662,0.000116732,0.000817121,0.000700389,0,0.003424125,0.003463035,3.891050583657588e-05,0.029766536964980543,0.026459143968871595,0.000350195,0.26408560311284046,0.6294163424124514,0.00540856,0.036070038910505836,0.00151751,0.00692607,0.056575875,1259,2212,1,5016,5797,9,41,45,0,164,211,2,11,6,0,32,34,1,202,212,5,3472,10822,86,377,17,67,419,0.004396,0.005652,0.001111,0.006693,0.006689,0.005625,0.005857,0.006522,0,0.003612,0.004489,0.006667,0.005238,0.003333,0,0.003636,0.00382,0.01,0.002641,0.003118,0.005556,0.22752293577981653,0.7091743119266055,0.005635649,0.024705111,0.001114024,0.004390564,0.027457405,25700,31.5493,-82.8492
34,COLQUITT,0,1043270,19,0.101177702,0.613528406,16145,2607,3315,5,8005,9021,20,67,70,0,634,720,0,23,18,0,104,151,1,799,737,18,5927,17046,137,1354,41,256,1554,0.099068972,0.1259737792133764,0.000190006,0.30419912597377924,0.34280828424852744,0.000760023,0.002546076,0.00266008,0,0.024092723,0.027360820824624738,0,0.000874026,0.000684021,0,0.003952119,0.005738172,3.800114003420103e-05,0.030362911,0.028006840205206156,0.000684021,0.22523275698270948,0.6477674330229907,0.005206156,0.051453544,0.001558047,0.009728292,0.059053772,981,1709,2,5637,6498,12,37,46,0,177,288,0,9,7,0,45,83,1,285,319,9,2692,12147,83,465,16,129,613,0.003763,0.005155,0.004,0.007042,0.007203,0.006,0.005522,0.006571,0,0.002792,0.004,0,0.003913,0.003889,0,0.004327,0.005497,0.01,0.003567,0.004328,0.005,0.16673892846082378,0.7523691545370084,0.00514091,0.028801486528336945,0.000991019,0.00799009,0.037968411,26315,31.1884,-83.7688
35,COLUMBIA,0,5171700,47,0.05441678,0.690702395,80989,8781,10658,31,36868,40432,77,1671,2114,10,1859,2223,4,146,162,0,1081,1423,3,4860,4793,60,19470,77377,3795,4086,308,2507,9713,0.074887426,0.090895135,0.000264379,0.3144231425257556,0.34481817561574674,0.000656683,0.01425087,0.018028928157194514,8.528348229514908e-05,0.015854199358668213,0.018958518,3.411339291805963e-05,0.001245139,0.001381592,0,0.009219144,0.012135839530599714,2.558504468854472e-05,0.041447772,0.040876373064064955,0.000511701,0.16604694002865525,0.659898001,0.032365081531009074,0.034846830865797915,0.002626731,0.021380569011393874,0.082835846,5619,7785,18,26285,29451,45,1065,1420,7,1018,1350,0,78,88,0,634,911,2,2458,2717,38,13422,55781,2492,2368,166,1547,5213,0.006399,0.007304,0.005806,0.007129,0.007284,0.005844,0.006373,0.006717,0.007,0.005476,0.006073,0,0.005342,0.005432,0,0.005865,0.006402,0.006667,0.005058,0.005669,0.006333,0.16572620973218585,0.6887478546469273,0.030769610687871193,0.029238538566965885,0.002049661,0.019101359443875095,0.064366766,117256,33.5441,-82.2641
36,COOK,0,166780,8,0.113805456,0.623355989,7062,1283,1753,1,3675,3950,1,26,30,0,100,111,0,5,6,0,40,42,0,171,135,0,3037,7626,56,211,11,82,306,0.11324918351134257,0.15473563421308148,8.826904404625298e-05,0.3243887368699797,0.34866272398269926,8.826904404625298e-05,0.002294995,0.002648071,0,0.008826904,0.009797864,0,0.000441345,0.000529614,0,0.003530762,0.0037073,0,0.015094007,0.011916320946244152,0,0.2680730867684703,0.6731397298967252,0.004943066,0.018624768293759378,0.000970959,0.007238062,0.027010327,589,1019,0,2488,2696,1,17,15,0,31,51,0,2,4,0,13,18,0,68,50,0,1608,5185,32,82,6,31,118,0.004591,0.005813,0,0.00677,0.006825,0.01,0.006538,0.005,0,0.0031,0.004595,0,0.004,0.006667,0,0.00325,0.004286,0,0.003977,0.003704,0,0.22769753610875107,0.7342112715944492,0.004531294,0.011611441517983575,0.000849618,0.004389691,0.016709147550269046,11329,31.154,-83.4305
37,COWETA,2,3306882,26,0.055227485,0.709482117,77225,6734,9272,28,35085,38543,109,549,721,2,1267,1646,8,77,69,0,636,726,7,6830,6472,66,16034,73737,1272,2921,146,1369,13368,0.061866657,0.08518379,0.000257242,0.32233318327560706,0.35410254761270404,0.001001406,0.005043777,0.006623977,1.8374415463908055e-05,0.011640192196385752,0.015122143926796328,7.349766185563222e-05,0.000707415,0.000633917,0,0.005843064,0.006669913,6.43104541236782e-05,0.062748629,0.059459608441206464,0.000606356,0.14730768877415087,0.677437137,0.011686128235045523,0.026835833785037712,0.001341332,0.012577287385045063,0.12281459296076143,3957,6584,18,26208,29571,83,315,492,2,767,1073,3,38,46,0,397,477,5,3374,3778,37,10559,55862,809,1843,84,879,7189,0.005876,0.007101,0.006429,0.00747,0.007672,0.007615,0.005738,0.006824,0.01,0.006054,0.006519,0.00375,0.004935,0.006667,0,0.006242,0.00657,0.007143,0.00494,0.005837,0.005606,0.1367303334412431,0.7233667853674328,0.010475882,0.023865328585302686,0.001087731,0.011382324376820978,0.093091615,108847,33.3534,-84.7634
38,CRAWFORD,0,187062,6,0.092161428,0.682324132,6130,773,900,4,3226,3337,2,10,16,0,36,50,0,14,10,0,39,44,0,301,219,3,1677,6565,26,86,24,83,523,0.086041852,0.10017809439002671,0.000445236,0.35908281389136243,0.3714381121994657,0.000222618,0.00111309,0.001780944,0,0.004007124,0.00556545,0,0.001558326,0.00111309,0,0.004341051,0.004897596,0,0.033504007,0.02437667,0.000333927,0.18666518254674977,0.7307435440783615,0.002894034,0.009572573,0.002671416,0.009238646,0.058214604,459,673,2,2283,2373,1,2,12,0,12,18,0,7,4,0,25,25,0,118,115,1,1134,4657,14,30,11,50,234,0.005938,0.007478,0.005,0.007077,0.007111,0.005,0.002,0.0075,0,0.003333,0.0036,0,0.005,0.004,0,0.00641,0.005682,0,0.00392,0.005251,0.003333,0.18499184339314845,0.7597063621533442,0.00228385,0.004893964,0.001794454,0.008156607,0.03817292,8984,32.7145,-83.9863
39,CRISP,0,365570,5,0.153034301,0.61347032,8061,2145,3211,7,3220,3727,4,44,40,0,44,60,0,9,6,0,45,47,0,264,254,13,5363,6951,84,104,15,92,531,0.1632420091324201,0.2443683409436834,0.000532725,0.2450532724505327,0.2836377473363775,0.000304414,0.003348554,0.00304414,0,0.003348554,0.00456621,0,0.000684932,0.000456621,0,0.003424658,0.003576865,0,0.020091324,0.019330289,0.000989346,0.40814307458143073,0.5289954337899543,0.006392694,0.007914764,0.001141553,0.007001522,0.040410959,858,1681,4,2383,2808,3,22,22,0,22,32,0,3,0,0,15,20,0,92,91,5,2543,5194,44,54,3,35,188,0.004,0.005235,0.005714,0.007401,0.007534,0.0075,0.005,0.0055,0,0.005,0.005333,0,0.003333,0,0,0.003333,0.004255,0,0.003485,0.003583,0.003846,0.3154695447214986,0.6443369309018732,0.00545838,0.006698921,0.000372162,0.004341893,0.023322168465450935,13140,31.9229,-83.7681
40,DADE,6,196834,7,0.13984026,0.584068723,7479,36,24,0,5890,5276,10,25,33,0,52,52,1,20,13,0,25,28,2,743,572,3,60,11176,58,105,33,55,1318,0.002811402,0.001874268,0,0.45997657165169853,0.412026552,0.000780945,0.001952362,0.002577118,0,0.004060914,0.004060914,7.809449433814917e-05,0.00156189,0.001015228,0,0.001952362,0.002186646,0.000156189,0.058024209293244824,0.044670051,0.000234283,0.00468567,0.8727840687231551,0.004529481,0.008199922,0.002577118,0.004295197,0.10292854353768059,12,11,0,3158,3593,5,7,18,0,14,29,0,11,9,0,8,15,2,291,294,2,23,6756,25,43,20,25,587,0.003333,0.004583,0,0.005362,0.00681,0.005,0.0028,0.005455,0,0.002692,0.005577,0,0.0055,0.006923,0,0.0032,0.005357,0.01,0.003917,0.00514,0.006667,0.003075277,0.9033293221018853,0.003342693,0.005749432,0.002674154,0.003342693,0.078486429,12805,34.8546,-85.5045
41,DAWSON,2,880914,3,0.135250713,0.718088889,16157,87,48,0,9686,10175,9,64,76,0,190,218,0,25,32,0,97,81,0,883,819,10,135,19870,140,408,57,178,1712,0.003866667,0.002133333,0,0.43048888888888887,0.45222222222222225,0.0004,0.002844444,0.003377778,0,0.008444444,0.009688889,0,0.001111111,0.001422222,0,0.004311111,0.0036,0,0.039244444,0.0364,0.000444444,0.006,0.8831111111111111,0.006222222,0.018133333333333335,0.002533333,0.007911111,0.076088889,36,26,0,7023,7700,7,38,49,0,111,136,0,18,18,0,55,50,0,433,452,5,62,14730,87,247,36,105,890,0.004138,0.005417,0,0.007251,0.007568,0.007778,0.005938,0.006447,0,0.005842,0.006239,0,0.0072,0.005625,0,0.00567,0.006173,0,0.004904,0.005519,0.005,0.003837346,0.9116791483567493,0.005384663,0.015287491489756761,0.002228136,0.006498731,0.055084484,22500,34.4443,-84.1706
42,DE KALB,0,44621550,9,0.120435716,0.656673114,11543,2652,3868,4,4474,5179,7,31,40,1,130,172,1,9,26,0,54,51,0,483,381,15,6524,9660,72,303,35,105,879,0.15087040618955513,0.2200477870064854,0.000227557,0.25452269882808054,0.2946296506997383,0.000398225,0.001763568,0.002275572,5.688929343497554e-05,0.007395608,0.009784958,5.688929343497554e-05,0.000512004,0.001479122,0,0.003072022,0.002901354,0,0.027477528729093186,0.021674821,0.000853339,0.3711457503697804,0.5495505745818637,0.004096029,0.017237456,0.001991125,0.005973376,0.050005689,1380,2499,2,3221,3766,5,20,24,0,58,88,0,3,16,0,26,30,0,205,189,11,3881,6992,44,146,19,56,405,0.005204,0.006461,0.005,0.007199,0.007272,0.007143,0.006452,0.006,0,0.004462,0.005116,0,0.003333,0.006154,0,0.004815,0.005882,0,0.004244,0.004961,0.007333,0.33622108637269343,0.6057350775361691,0.003811834,0.012648358312397124,0.001646019,0.004851425,0.035086199,17578,33.7715,-84.2264
43,DECATUR,22,694178,193,0.073161383,0.650446737,373026,129022,161379,77,85419,94646,75,8481,9771,13,7318,8462,6,623,616,0,7374,9334,20,25373,25371,112,290478,180140,18265,15786,1239,16728,50856,0.22497611126223208,0.2813971249816911,0.000134265,0.1489454081312381,0.16503456020310658,0.000130778,0.014788349270783202,0.017037726768638448,2.2668145327223397e-05,0.012760422115740062,0.014755218904535721,1.0462220920256953e-05,0.001086327,0.001074121,0,0.012858069510995794,0.016275728344946398,3.487406973418984e-05,0.044242989,0.044239501161306524,0.000195295,0.5065075014123999,0.3141107460958479,0.031848744184748874,0.027526103241196042,0.002160449,0.029168671925676383,0.088677785,69206,107031,44,64698,73898,61,5371,6420,10,4017,5256,2,243,311,0,3845,5625,16,12055,14850,67,176281,138657,11801,9275,554,9486,26972,0.005364,0.006632,0.005714,0.007574,0.007808,0.008133,0.006333,0.00657,0.007692,0.005489,0.006211,0.003333,0.0039,0.005049,0,0.005214,0.006026,0.008,0.004751,0.005853,0.005982,0.4725702766027033,0.37170867446236994,0.031635864524188664,0.024864219,0.001485151,0.025429862797767447,0.072305952,573492,30.8783,-84.579
44,DODGE,84,143112,16,0.120239072,0.676048104,8095,1253,1770,0,3914,4257,4,16,24,0,38,39,0,6,5,0,32,35,0,302,277,2,3023,8175,40,77,11,67,581,0.10464339402037748,0.14782027726741273,0,0.32687489560714883,0.3555202939702689,0.000334057,0.001336228,0.002004343,0,0.003173543,0.003257057,0,0.000501086,0.000417571,0,0.002672457,0.002923,0,0.025221313,0.023133455820945382,0.000167029,0.25246367128779024,0.682729247,0.003340571,0.0064306,0.000918657,0.005595457,0.048521797,630,1129,0,2880,3114,2,8,16,0,15,17,0,6,5,0,12,17,0,113,130,1,1759,5996,24,32,11,29,244,0.005028,0.006379,0,0.007358,0.007315,0.005,0.005,0.006667,0,0.003947,0.004359,0,0.01,0.01,0,0.00375,0.004857,0,0.003742,0.004693,0.005,0.2172946263125386,0.7407041383570105,0.002964793,0.003953057,0.001358863,0.003582458,0.030142063001852997,11974,32.1722,-83.1684
45,DOOLY,0,156472,5,0.150146997,0.660622593,4117,1233,1689,1,1388,1527,0,11,10,0,44,63,0,0,6,0,19,15,0,116,108,2,2923,2915,21,107,6,34,226,0.19784980744544287,0.271020539,0.000160462,0.2227214377406932,0.24502567394094993,0,0.001765083,0.001604621,0,0.007060334,0.010109114249037227,0,0,0.000962773,0,0.00304878,0.002406932,0,0.018613607188703467,0.017329910141206675,0.000320924,0.46903080872913994,0.4677471116816431,0.003369705,0.017169448010269577,0.000962773,0.005455712,0.036264442,626,1088,1,1062,1172,0,4,3,0,11,23,0,0,2,0,7,6,0,53,58,1,1715,2234,7,34,2,13,112,0.005077,0.006442,0.01,0.007651,0.007675,0,0.003636,0.003,0,0.0025,0.003651,0,0,0.003333,0,0.003684,0.004,0,0.004569,0.00537,0.005,0.41656546028661645,0.5426281272771436,0.001700267,0.008258441,0.000485791,0.003157639,0.027204275,6232,32.1572,-83.7988
