"GEORGIA SECRETARY OF STATE
SSVRZ376R3 VOTER REGISTRATION SYSTEM SECRETARY OF STATE
ACTIVE/INACTIVE VOTERS BY RACE/GENDER/DISTRICT
GENERAL ELECTION VOTING HISTORY SUMMARY
ELECTION DATE: NOVEMBER 03, 2020 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY NAME,COUNTY CODE,BLACK MALE,,,BLACK FEMALE,,,BLACK UNKNOWN,,,WHITE MALE,,,WHITE FEMALE,,,WHITE UNKNOWN,,,ASIA-PI MALE,,,ASIA-PI FEMALE,,,ASIA-PI UNKNOWN,,,HISP-LT MALE,,,HISP-LT FEMALE,,,HISP-LT UNKNOWN,,,NATIVE-AM MALE,,,NATIVE-AM FEMALE,,,NATIVE-AM UNKNOWN,,,OTHER MALE,,,OTHER FEMALE,,,OTHER UNKNOWN,,,UNKNOWN MALE,,,UNKNOWN FEMALE,,,UNKNOWN,,,TOTAL VOTERS,,
,,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%
BALDWIN,005,4601,2564,55.73,6382,4310,67.53,5,3,60,6592,4885,74.1,7489,5601,74.79,14,10,71.43,110,61,55.45,141,88,62.41,0,0,0,107,61,57.01,128,82,64.06,1,0,0,18,8,44.44,15,8,53.33,1,0,0,85,42,49.41,120,62,51.67,0,0,0,772,258,33.42,661,297,44.93,4,2,50,27246,18342,67.32
BANKS,006,149,64,42.95,121,71,58.68,2,1,50,5578,3867,69.33,5788,4135,71.44,10,6,60,56,26,46.43,64,34,53.12,1,1,100,154,82,53.25,144,76,52.78,0,0,0,15,8,53.33,11,6,54.55,0,0,0,59,28,47.46,49,26,53.06,0,0,0,517,216,41.78,407,168,41.28,4,2,50,13129,8817,67.16
BARROW,007,3019,1617,53.56,3634,2506,68.96,8,6,75,19501,13321,68.31,21337,15245,71.45,55,44,80,761,253,33.25,802,349,43.52,6,5,83.33,1547,739,47.77,1694,1018,60.09,9,5,55.56,61,33,54.1,65,34,52.31,0,0,0,376,187,49.73,451,271,60.09,1,0,0,2721,1185,43.55,2431,1238,50.93,24,17,70.83,58503,38073,65.08
BARTOW,008,3480,1660,47.70,4111,2554,62.13,7,5,71.43,28395,19338,68.1,30757,21544,70.05,68,49,72.06,256,153,59.77,262,174,66.41,2,1,50,1243,600,48.27,1287,727,56.49,0,0,0,89,44,49.44,94,47,50,0,0,0,447,207,46.31,450,257,57.11,2,1,50,3857,1645,42.65,3430,1625,47.38,26,12,46.15,78263,50643,64.71
BEN HILL,009,1504,674,44.81,2216,1324,59.75,4,2,50,2928,1963,67.04,3376,2307,68.34,5,4,80,29,19,65.52,28,17,60.71,0,0,0,83,27,32.53,107,54,50.47,0,0,0,7,2,28.57,7,4,57.14,0,0,0,30,13,43.33,43,22,51.16,0,0,0,216,73,33.8,227,90,39.65,4,1,25,10814,6596,61
BERRIEN,010,563,242,42.98,684,411,60.09,1,1,100,4831,3199,66.22,5222,3506,67.14,11,7,63.64,21,9,42.86,22,11,50,0,0,0,96,35,36.46,102,50,49.02,0,0,0,19,9,47.37,19,7,36.84,0,0,0,48,19,39.58,41,16,39.02,1,1,100,283,119,42.05,249,127,51,5,3,60,12218,7772,63.61
BIBB,011,25940,12771,49.23,33525,21582,64.38,56,14,25,21100,14588,69.14,24033,17243,71.75,51,25,49.02,756,441,58.33,718,434,60.45,6,3,50,611,250,40.92,784,408,52.04,2,1,50,129,48,37.21,124,68,54.84,1,0,0,689,288,41.8,876,445,50.8,8,2,25,3358,1201,35.77,3059,1381,45.15,54,19,35.19,115880,71212,61.45
BLECKLEY,012,673,333,49.48,943,595,63.1,0,0,0,2816,2171,77.1,3074,2402,78.14,2,1,50,28,15,53.57,24,16,66.67,0,0,0,28,14,50,33,15,45.45,0,0,0,6,4,66.67,3,2,66.67,0,0,0,25,16,64,34,21,61.76,0,0,0,160,68,42.5,158,56,35.44,2,1,50,8009,5730,71.54
BRANTLEY,013,136,60,44.12,156,107,68.59,0,0,0,5138,3399,66.15,5629,3817,67.81,9,4,44.44,10,6,60,10,6,60,0,0,0,31,16,51.61,32,16,50,0,0,0,17,10,58.82,10,6,60,0,0,0,30,20,66.67,43,26,60.47,0,0,0,368,128,34.78,252,102,40.48,2,2,100,11873,7725,65.06
BROOKS,014,1767,817,46.24,2219,1351,60.88,0,0,0,3131,2106,67.26,3338,2336,69.98,3,3,100,11,8,72.73,25,16,64,0,0,0,83,30,36.14,113,59,52.21,0,0,0,7,2,28.57,14,8,57.14,0,0,0,50,26,52,57,36,63.16,1,1,100,304,134,44.08,309,172,55.66,0,0,0,11432,7105,62.15
BRYAN,015,1956,1164,59.51,2343,1573,67.14,8,6,75,11019,7308,66.32,12052,8263,68.56,30,23,76.67,231,136,58.87,298,178,59.73,2,1,50,530,278,52.45,633,360,56.87,2,1,50,62,36,58.06,46,27,58.7,0,0,0,255,130,50.98,332,203,61.14,2,1,50,1607,741,46.11,1611,840,52.14,26,19,73.08,33045,21288,64.42
BULLOCH,016,4864,2278,46.83,6642,3806,57.3,12,8,66.67,14134,9947,70.38,15600,11227,71.97,37,24,64.86,186,95,51.08,214,141,65.89,0,0,0,332,160,48.19,368,197,53.53,1,0,0,39,19,48.72,31,17,54.84,1,1,100,258,134,51.94,323,169,52.32,1,0,0,2710,1025,37.82,2350,968,41.19,18,10,55.56,48121,30226,62.81
BURKE,017,3177,1727,54.36,4164,2818,67.68,5,2,40,3799,2673,70.36,4054,2871,70.82,11,6,54.55,26,13,50,31,19,61.29,0,0,0,75,27,36,78,46,58.97,1,0,0,20,10,50,13,6,46.15,0,0,0,63,34,53.97,81,39,48.15,1,0,0,727,221,30.4,532,238,44.74,3,1,33.33,16861,10751,63.76
BUTTS,018,1776,915,51.52,2119,1444,68.15,5,3,60,5820,4015,68.99,6283,4493,71.51,12,7,58.33,20,8,40,33,23,69.7,0,0,0,109,49,44.95,104,66,63.46,0,0,0,34,12,35.29,17,7,41.18,0,0,0,88,48,54.55,74,35,47.3,1,1,100,724,309,42.68,693,389,56.13,5,5,100,17917,11829,66.02
CALHOUN,019,781,456,58.39,1075,732,68.09,2,0,0,555,430,77.48,610,496,81.31,1,0,0,13,7,53.85,13,4,30.77,0,0,0,13,4,30.77,11,1,9.09,0,0,0,0,0,0,0,0,0,0,0,0,7,3,42.86,5,4,80,0,0,0,74,24,32.43,71,29,40.85,5,4,80,3236,2194,67.8
CAMDEN,020,2699,1465,54.28,3524,2239,63.54,3,3,100,11213,7370,65.73,12762,8247,64.62,16,12,75,188,91,48.4,275,160,58.18,1,1,100,413,210,50.85,575,281,48.87,2,1,50,48,22,45.83,54,28,51.85,0,0,0,268,123,45.9,345,201,58.26,0,0,0,4053,1580,38.98,3839,1728,45.01,14,10,71.43,40292,23772,59
CANDLER,021,639,343,53.68,800,506,63.25,1,0,0,2047,1503,73.42,2294,1712,74.63,9,6,66.67,12,5,41.67,14,9,64.29,0,0,0,68,27,39.71,107,52,48.6,1,1,100,4,2,50,3,2,66.67,0,0,0,20,9,45,15,5,33.33,0,0,0,342,123,35.96,342,113,33.04,5,4,80,6723,4422,65.77
CARROLL,022,6543,3088,47.20,7928,4831,60.94,15,10,66.67,28819,19292,66.94,31411,21945,69.86,63,43,68.25,240,138,57.5,289,185,64.01,1,1,100,882,404,45.8,955,533,55.81,3,1,33.33,91,44,48.35,95,42,44.21,1,1,100,493,229,46.45,666,365,54.8,5,3,60,3828,1667,43.55,3721,1861,50.01,25,13,52,86074,54696,63.55
CATOOSA,023,508,260,51.18,536,345,64.37,1,0,0,19143,13098,68.42,22104,15509,70.16,74,56,75.68,182,96,52.75,189,119,62.96,1,1,100,227,121,53.3,299,185,61.87,1,0,0,55,27,49.09,49,25,51.02,0,0,0,177,83,46.89,193,98,50.78,0,0,0,2820,1353,47.98,2725,1367,50.17,31,22,70.97,49315,32765,66.44
CHARLTON,024,587,300,51.11,761,475,62.42,0,0,0,2241,1564,69.79,2539,1731,68.18,4,2,50,19,16,84.21,16,10,62.5,0,0,0,20,15,75,19,5,26.32,0,0,0,8,5,62.5,5,1,20,0,0,0,29,11,37.93,33,20,60.61,1,1,100,520,207,39.81,421,209,49.64,1,1,100,7224,4573,63.3
CHATHAM,025,35698,16988,47.59,44329,27997,63.16,103,35,33.98,52534,33853,64.44,58264,39638,68.03,158,104,65.82,1780,941,52.87,2016,1148,56.94,10,8,80,3021,1239,41.01,3323,1573,47.34,17,8,47.06,318,129,40.57,277,142,51.26,0,0,0,1925,884,45.92,2213,1150,51.97,13,5,38.46,9332,3815,40.88,9138,4480,49.03,200,92,46,224669,134229,59.75
CHATTAHOOCHEE,026,476,186,39.08,541,249,46.03,1,0,0,1113,449,40.34,1111,474,42.66,2,0,0,36,3,8.33,50,14,28,0,0,0,164,36,21.95,139,31,22.3,0,0,0,3,1,33.33,6,3,50,0,0,0,44,10,22.73,52,20,38.46,0,0,0,386,60,15.54,228,48,21.05,3,3,100,4355,1587,36.44
CHATTOOGA,027,436,242,55.50,532,371,69.74,0,0,0,5582,3988,71.44,6457,4604,71.3,6,6,100,20,10,50,28,18,64.29,0,0,0,84,42,50,72,35,48.61,0,0,0,16,8,50,12,10,83.33,0,0,0,55,22,40,78,33,42.31,0,0,0,785,349,44.46,726,368,50.69,1,1,100,14890,10107,67.88
CHEROKEE,028,5157,3217,62.38,6237,4490,71.99,13,9,69.23,72801,54772,75.24,79632,61971,77.82,131,85,64.89,1196,782,65.38,1506,1100,73.04,4,4,100,3662,2179,59.5,4347,2929,67.38,14,11,78.57,163,103,63.19,186,123,66.13,0,0,0,1413,901,63.77,1518,1041,68.58,7,7,100,10243,5637,55.03,9702,5771,59.48,83,61,73.49,198015,145193,73.32
CLARKE,029,9172,4223,46.04,12043,7109,59.03,35,14,40,21848,15110,69.16,24360,17518,71.91,112,84,75,706,392,55.52,835,549,65.75,10,6,60,1507,792,52.55,1728,1090,63.08,14,8,57.14,61,33,54.1,74,48,64.86,0,0,0,652,364,55.83,834,504,60.43,6,7,116.67,4215,1854,43.99,3929,2016,51.31,114,70,61.4,82255,51791,62.96
CLAY,030,477,254,53.25,691,450,65.12,2,1,50,415,320,77.11,449,359,79.96,1,1,100,2,0,0,3,1,33.33,0,0,0,1,1,100,3,3,100,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,50,0,0,0,54,18,33.33,43,21,48.84,0,0,0,2146,1430,66.64
CLAYTON,031,62318,31130,49.95,80950,50662,62.58,221,102,46.15,9801,5696,58.12,11237,7001,62.3,28,14,50,2986,1462,48.96,2885,1577,54.66,34,17,50,4149,1658,39.96,4615,2347,50.86,26,10,38.46,266,87,32.71,226,103,45.58,4,1,25,2253,897,39.81,3013,1549,51.41,19,7,36.84,9144,3317,36.28,10109,5070,50.15,246,61,24.8,204530,112768,55.14
CLINCH,032,506,235,46.44,684,393,57.46,2,2,100,1397,1011,72.37,1515,1084,71.55,4,4,100,5,1,20,8,7,87.5,0,0,0,17,8,47.06,18,6,33.33,0,0,0,5,3,60,7,5,71.43,0,0,0,9,1,11.11,17,10,58.82,0,0,0,141,53,37.59,111,48,43.24,0,0,0,4446,2871,64.57
COBB,033,64208,38582,60.09,83820,58410,69.69,160,87,54.37,147258,110186,74.83,157852,123115,77.99,266,180,67.67,8844,6129,69.3,9839,7166,72.83,34,27,79.41,14648,7957,54.32,16863,10817,64.15,51,33,64.71,615,335,54.47,620,362,58.39,0,0,0,6579,3939,59.87,8455,5598,66.21,46,27,58.7,20257,10690,52.77,21107,12808,60.68,391,234,59.85,561913,396682,70.59
COFFEE,034,2864,1259,43.96,3914,2212,56.52,9,1,11.11,7494,5016,66.93,8666,5797,66.89,16,9,56.25,70,41,58.57,69,45,65.22,0,0,0,454,164,36.12,470,211,44.89,3,2,66.67,21,11,52.38,18,6,33.33,0,0,0,88,32,36.36,89,34,38.2,1,1,100,765,202,26.41,680,212,31.18,9,5,55.56,25700,15260,59.38
COLQUITT,035,2607,981,37.63,3315,1709,51.55,5,2,40,8005,5637,70.42,9021,6498,72.03,20,12,60,67,37,55.22,70,46,65.71,0,0,0,634,177,27.92,720,288,40,0,0,0,23,9,39.13,18,7,38.89,0,0,0,104,45,43.27,151,83,54.97,1,1,100,799,285,35.67,737,319,43.28,18,9,50,26315,16145,61.35
COLUMBIA,036,8781,5619,63.99,10658,7785,73.04,31,18,58.06,36868,26285,71.29,40432,29451,72.84,77,45,58.44,1671,1065,63.73,2114,1420,67.17,10,7,70,1859,1018,54.76,2223,1350,60.73,4,0,0,146,78,53.42,162,88,54.32,0,0,0,1081,634,58.65,1423,911,64.02,3,2,66.67,4860,2458,50.58,4793,2717,56.69,60,38,63.33,117256,80989,69.07
COOK,037,1283,589,45.91,1753,1019,58.13,1,0,0,3675,2488,67.7,3950,2696,68.25,1,1,100,26,17,65.38,30,15,50,0,0,0,100,31,31,111,51,45.95,0,0,0,5,2,40,6,4,66.67,0,0,0,40,13,32.5,42,18,42.86,0,0,0,171,68,39.77,135,50,37.04,0,0,0,11329,7062,62.34
COWETA,038,6734,3957,58.76,9272,6584,71.01,28,18,64.29,35085,26208,74.7,38543,29571,76.72,109,83,76.15,549,315,57.38,721,492,68.24,2,2,100,1267,767,60.54,1646,1073,65.19,8,3,37.5,77,38,49.35,69,46,66.67,0,0,0,636,397,62.42,726,477,65.7,7,5,71.43,6830,3374,49.4,6472,3778,58.37,66,37,56.06,108847,77225,70.95
CRAWFORD,039,773,459,59.38,900,673,74.78,4,2,50,3226,2283,70.77,3337,2373,71.11,2,1,50,10,2,20,16,12,75,0,0,0,36,12,33.33,50,18,36,0,0,0,14,7,50,10,4,40,0,0,0,39,25,64.1,44,25,56.82,0,0,0,301,118,39.2,219,115,52.51,3,1,33.33,8984,6130,68.23
CRISP,040,2145,858,40.00,3211,1681,52.35,7,4,57.14,3220,2383,74.01,3727,2808,75.34,4,3,75,44,22,50,40,22,55,0,0,0,44,22,50,60,32,53.33,0,0,0,9,3,33.33,6,0,0,0,0,0,45,15,33.33,47,20,42.55,0,0,0,264,92,34.85,254,91,35.83,13,5,38.46,13140,8061,61.35
DADE,041,36,12,33.33,24,11,45.83,0,0,0,5890,3158,53.62,5276,3593,68.1,10,5,50,25,7,28,33,18,54.55,0,0,0,52,14,26.92,52,29,55.77,1,0,0,20,11,55,13,9,69.23,0,0,0,25,8,32,28,15,53.57,2,2,100,743,291,39.17,572,294,51.4,3,2,66.67,12805,7479,58.41
DAWSON,042,87,36,41.38,48,26,54.17,0,0,0,9686,7023,72.51,10175,7700,75.68,9,7,77.78,64,38,59.38,76,49,64.47,0,0,0,190,111,58.42,218,136,62.39,0,0,0,25,18,72,32,18,56.25,0,0,0,97,55,56.7,81,50,61.73,0,0,0,883,433,49.04,819,452,55.19,10,5,50,22500,16157,71.81
DECATUR,043,2652,1380,52.04,3868,2499,64.61,4,2,50,4474,3221,71.99,5179,3766,72.72,7,5,71.43,31,20,64.52,40,24,60,1,0,0,130,58,44.62,172,88,51.16,1,0,0,9,3,33.33,26,16,61.54,0,0,0,54,26,48.15,51,30,58.82,0,0,0,483,205,42.44,381,189,49.61,15,11,73.33,17578,11543,65.67
DEKALB,044,129022,69206,53.64,161379,107031,66.32,77,44,57.14,85419,64698,75.74,94646,73898,78.08,75,61,81.33,8481,5371,63.33,9771,6420,65.7,13,10,76.92,7318,4017,54.89,8462,5256,62.11,6,2,33.33,623,243,39,616,311,50.49,0,0,0,7374,3845,52.14,9334,5625,60.26,20,16,80,25373,12055,47.51,25371,14850,58.53,112,67,59.82,573492,373026,65.04
DODGE,045,1253,630,50.28,1770,1129,63.79,0,0,0,3914,2880,73.58,4257,3114,73.15,4,2,50,16,8,50,24,16,66.67,0,0,0,38,15,39.47,39,17,43.59,0,0,0,6,6,100,5,5,100,0,0,0,32,12,37.5,35,17,48.57,0,0,0,302,113,37.42,277,130,46.93,2,1,50,11974,8095,67.6
DOOLY,046,1233,626,50.77,1689,1088,64.42,1,1,100,1388,1062,76.51,1527,1172,76.75,0,0,0,11,4,36.36,10,3,30,0,0,0,44,11,25,63,23,36.51,0,0,0,0,0,0,6,2,33.33,0,0,0,19,7,36.84,15,6,40,0,0,0,116,53,45.69,108,58,53.7,2,1,50,6232,4117,66.06
DOUGHERTY,047,18186,7947,43.70,24659,14159,57.42,415,69,16.63,7899,5048,63.91,9097,6017,66.14,46,14,30.43,158,71,44.94,162,85,52.47,1,0,0,301,112,37.21,279,108,38.71,5,1,20,53,16,30.19,41,14,34.15,1,0,0,296,95,32.09,344,149,43.31,9,1,11.11,2685,667,24.84,2373,830,34.98,130,19,14.62,67140,35422,52.76
DOUGLAS,048,20862,12540,60.11,27338,19101,69.87,84,51,60.71,19233,12896,67.05,21199,14816,69.89,43,24,55.81,514,292,56.81,624,399,63.94,3,3,100,1919,976,50.86,2242,1302,58.07,6,2,33.33,140,58,41.43,132,73,55.3,0,0,0,1035,537,51.88,1416,869,61.37,7,2,28.57,4939,2310,46.77,5424,3161,58.28,76,37,48.68,107236,69449,64.76
EARLY,049,1551,814,52.48,2192,1434,65.42,6,3,50,1740,1324,76.09,1892,1468,77.59,2,1,50,10,5,50,13,8,61.54,0,0,0,12,7,58.33,16,6,37.5,0,0,0,3,1,33.33,6,5,83.33,0,0,0,10,7,70,20,9,45,0,0,0,150,65,43.33,128,62,48.44,1,0,0,7752,5219,67.32
ECHOLS,050,44,14,31.82,61,36,59.02,0,0,0,880,606,68.86,977,675,69.09,1,1,100,3,1,33.33,3,1,33.33,0,0,0,92,24,26.09,85,30,35.29,0,0,0,8,6,75,6,2,33.33,0,0,0,13,5,38.46,8,6,75,0,0,0,61,22,36.07,45,20,44.44,1,0,0,2288,1449,63.33
EFFINGHAM,051,2580,1491,57.79,3145,2219,70.56,7,4,57.14,16865,11705,69.4,17797,12787,71.85,42,30,71.43,129,81,62.79,192,125,65.1,2,1,50,488,249,51.02,519,296,57.03,4,3,75,71,40,56.34,65,37,56.92,0,0,0,241,136,56.43,263,146,55.51,2,0,0,2275,1060,46.59,2329,1255,53.89,28,20,71.43,47044,31685,67.35
ELBERT,052,1354,756,55.83,1932,1326,68.63,2,0,0,4027,3061,76.01,4582,3515,76.71,4,2,50,33,19,57.58,39,26,66.67,1,1,100,72,37,51.39,77,49,63.64,0,0,0,3,1,33.33,13,10,76.92,0,0,0,43,25,58.14,56,29,51.79,2,0,0,382,186,48.69,323,168,52.01,17,8,47.06,12962,9219,71.12
EMANUEL,053,1715,841,49.04,2520,1544,61.27,4,2,50,4089,3059,74.81,4681,3532,75.45,6,5,83.33,22,17,77.27,25,22,88,0,0,0,58,25,43.1,72,37,51.39,0,0,0,7,1,14.29,8,5,62.5,0,0,0,40,21,52.5,46,21,45.65,0,0,0,725,216,29.79,624,212,33.97,3,2,66.67,14645,9562,65.29
EVANS,054,686,358,52.19,1010,617,61.09,1,0,0,1855,1392,75.04,2091,1610,77,3,2,66.67,14,7,50,21,10,47.62,0,0,0,70,23,32.86,80,34,42.5,0,0,0,3,2,66.67,5,2,40,0,0,0,30,15,50,32,19,59.38,0,0,0,301,88,29.24,248,86,34.68,1,0,0,6451,4265,66.11
FANNIN,055,28,4,14.29,27,7,25.93,0,0,0,9261,6639,71.69,10085,7322,72.6,15,11,73.33,20,12,60,48,34,70.83,0,0,0,76,35,46.05,93,57,61.29,0,0,0,31,16,51.61,37,24,64.86,1,1,100,70,44,62.86,58,35,60.34,2,2,100,580,335,57.76,553,331,59.86,5,2,40,20990,14911,71.04
FAYETTE,056,9690,7072,72.98,11782,9384,79.65,44,31,70.45,27129,20619,76,29482,23101,78.36,92,68,73.91,1078,711,65.96,1312,941,71.72,11,7,63.64,1300,808,62.15,1616,1093,67.64,6,3,50,83,50,60.24,83,56,67.47,1,1,100,823,531,64.52,952,694,72.9,3,3,100,5140,3243,63.09,5475,3772,68.89,67,47,70.15,96169,72235,75.11
FLOYD,057,3221,1595,49.52,4553,2768,60.8,6,3,50,21378,15396,72.02,24639,17804,72.26,34,27,79.41,259,162,62.55,323,201,62.23,3,3,100,835,424,50.78,951,547,57.52,3,2,66.67,48,22,45.83,41,19,46.34,0,0,0,220,100,45.45,265,138,52.08,2,1,50,2850,1146,40.21,2627,1227,46.71,15,12,80,62273,41597,66.8
FORSYTH,058,2626,1774,67.56,3080,2315,75.16,20,15,75,52223,39959,76.52,57315,45256,78.96,242,195,80.58,6136,4864,79.27,6511,5224,80.23,44,36,81.82,2922,1855,63.48,3356,2424,72.23,15,12,80,164,116,70.73,207,151,72.95,2,2,100,1534,1043,67.99,1654,1219,73.7,13,8,61.54,16500,11553,70.02,16121,11694,72.54,318,268,84.28,171003,129983,76.01
FRANKLIN,059,454,203,44.71,599,311,51.92,0,0,0,6411,4581,71.46,6893,4997,72.49,5,4,80,54,34,62.96,55,33,60,0,0,0,90,37,41.11,76,48,63.16,1,0,0,21,10,47.62,5,3,60,0,0,0,45,16,35.56,61,31,50.82,1,1,100,605,262,43.31,499,248,49.7,1,0,0,15876,10819,68.15
FULTON,060,160468,73955,46.09,191082,113438,59.37,707,261,36.92,159073,115672,72.72,164904,123747,75.04,706,462,65.44,14469,9797,67.71,15484,10910,70.46,152,104,68.42,10985,6154,56.02,12432,7722,62.11,72,42,58.33,885,342,38.64,780,377,48.33,5,2,40,9377,5067,54.04,11160,6707,60.1,173,78,45.09,46576,23956,51.43,47223,27942,59.17,1545,644,41.68,848258,527379,62.17
GILMER,061,46,26,56.52,38,21,55.26,0,0,0,10252,7320,71.4,10836,7899,72.9,26,18,69.23,33,17,51.52,54,36,66.67,0,0,0,291,127,43.64,315,173,54.92,0,0,0,25,10,40,25,12,48,0,0,0,91,55,60.44,90,55,61.11,2,1,50,722,391,54.16,661,400,60.51,5,2,40,23512,16563,70.44
GLASCOCK,062,54,28,51.85,76,51,67.11,0,0,0,872,684,78.44,989,760,76.85,1,1,100,2,2,100,3,2,66.67,0,0,0,2,0,0,1,1,100,0,0,0,0,0,0,1,1,100,0,0,0,3,2,66.67,5,3,60,0,0,0,54,21,38.89,42,17,40.48,0,0,0,2105,1573,74.73
GLYNN,063,5853,2735,46.73,7874,4672,59.33,20,10,50,20057,13803,68.82,23403,16719,71.44,66,49,74.24,308,180,58.44,364,227,62.36,1,1,100,662,281,42.45,745,362,48.59,2,2,100,70,38,54.29,71,36,50.7,0,0,0,366,176,48.09,425,213,50.12,1,0,0,2723,1232,45.24,2727,1476,54.13,35,15,42.86,65773,42227,64.2
GORDON,064,700,339,48.43,711,448,63.01,0,0,0,14333,9848,68.71,15868,11138,70.19,15,10,66.67,137,86,62.77,158,93,58.86,1,1,100,931,448,48.12,1139,628,55.14,2,2,100,44,25,56.82,44,26,59.09,0,0,0,164,80,48.78,189,90,47.62,0,0,0,1498,434,28.97,1250,431,34.48,7,2,28.57,37191,24129,64.88
GRADY,065,1824,955,52.36,2505,1649,65.83,5,3,60,4648,3416,73.49,5410,4032,74.53,9,7,77.78,25,12,48,28,19,67.86,0,0,0,154,63,40.91,153,69,45.1,0,0,0,16,8,50,17,7,41.18,0,0,0,57,33,57.89,77,38,49.35,2,1,50,466,189,40.56,439,234,53.3,3,3,100,15838,10738,67.8
GREENE,066,1680,889,52.92,2267,1608,70.93,2,0,0,4642,3839,82.7,4991,4155,83.25,9,7,77.78,40,25,62.5,53,41,77.36,1,1,100,99,44,44.44,96,63,65.62,0,0,0,4,1,25,7,5,71.43,0,0,0,45,29,64.44,48,24,50,1,1,100,444,277,62.39,442,303,68.55,8,5,62.5,14879,11317,76.06
GWINNETT,067,77095,46988,60.95,96189,68008,70.7,590,405,68.64,119205,85980,72.13,128013,96147,75.11,544,416,76.47,28320,17152,60.56,29702,19044,64.12,282,198,70.21,26484,13759,51.95,30394,19215,63.22,232,152,65.52,751,408,54.33,721,427,59.22,5,3,60,9174,5409,58.96,10855,7035,64.81,116,76,65.52,30390,15671,51.57,32195,19345,60.09,1167,765,65.55,622424,416603,66.93
HABERSHAM,068,311,132,42.44,332,177,53.31,1,0,0,11835,8631,72.93,13135,9712,73.94,15,12,80,204,75,36.76,205,89,43.41,0,0,0,647,238,36.79,580,295,50.86,3,1,33.33,19,9,47.37,25,11,44,0,0,0,112,52,46.43,125,71,56.8,0,0,0,1133,483,42.63,1031,515,49.95,12,6,50,29725,20509,69
