county,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN
ROCKDALE,62.06,72.09,63.04,66.67,69.83,47.37,60.82,65.83,0,44.44,55.86,66.67,49.35,47.95,0,50.86,58.14,75,47.49,58.05,52.94
SCHLEY,58.14,73.94,0,79.4,80.62,100,20,61.54,0,58.33,55.17,0,0,100,0,45.45,71.43,100,54,48.94,0
SCREVEN,52.67,66.2,100,74.56,76.62,85.71,46.67,60,0,48.15,50,0,40,40,0,60,52.17,0,25.96,35.96,100
SEMINOLE,43.19,58.25,0,71.12,72.54,100,75,62.5,0,52.94,55.17,0,0,40,0,43.75,68.18,0,37.68,49.29,100
SPALDING,46.97,60.07,52.63,66.95,68.95,64,53.64,59.39,0,43.77,48.88,0,48.98,42.22,0,40.34,53.04,0,36.7,48.79,55.17
STEPHENS,46.15,55.74,0,65.57,65.76,42.86,43.75,60,0,51.52,54,100,44.44,52.63,0,40.51,46.15,0,34.78,44.61,14.29
STEWART,52.73,68.03,50,68.61,71.97,100,50,25,0,66.67,25,0,0,0,0,50,75,100,40.32,59.65,0
SUMTER,53.70,65.16,71.43,74.94,76.67,70,71.7,54.55,0,45.54,43.51,0,60,60,0,59.38,47.83,0,34.31,50.61,25
TALBOT,68.03,80,0,76.17,76.79,0,100,83.33,0,57.14,52.63,0,66.67,80,0,37.5,47.37,50,54.17,61.54,0
TALIAFERRO,65.64,77.84,0,74.81,80.56,0,0,100,0,42.86,33.33,0,0,0,0,60,25,0,48.28,68.42,100
TATTNALL,51.71,62.44,33.33,72.37,73.11,66.67,63.16,72.41,0,33.72,49.57,0,55.56,42.86,0,48.21,47.27,0,28.2,32.85,50
TAYLOR,54.91,67.32,0,76.57,78.12,100,44.44,50,0,50,60.71,0,100,100,0,41.67,58.33,0,41.81,58.28,100
TELFAIR,54.72,67.33,100,74.91,72.81,33.33,50,100,0,35,65.38,0,57.14,80,0,23.81,55.56,0,32.81,38.95,100
TERRELL,48.26,65.84,42.86,77.95,78.05,100,53.33,42.86,0,53.85,27.27,0,25,25,0,51.85,31.82,0,31.5,43.08,0
THOMAS,50.95,66.36,33.33,73.75,75.22,73.08,51.96,60.78,0,44.03,58.42,0,54.84,50,0,52.46,60.15,0,47.91,54.99,42.86
TIFT,40.78,53.53,35,71.64,72.58,75,58.97,61.54,100,38.78,45.25,100,25,61.54,0,36.45,44.2,100,41.99,46.01,55
TOOMBS,45.67,58.46,0,72.21,74.09,73.33,58.54,65.91,0,35.02,45.83,100,42.86,50,0,43.94,44.44,0,27.49,33.04,50
TOWNS,42.11,56,0,74.34,74.4,75,53.33,77.78,0,69.44,60.66,100,10,50,0,70.21,72.09,0,62.24,63.77,0
TREUTLEN,55.08,71.24,0,70.49,74.7,100,40,83.33,0,54.55,44.44,0,100,0,0,75,30,0,42.34,51.61,66.67
TROUP,48.19,63.11,25,70.9,72.31,62.07,54.55,60.59,0,51.71,57.69,75,40.74,61.54,0,46.54,47.43,80,41.27,48.41,33.33
TURNER,46.01,63.44,100,72.49,74.03,50,25,31.25,0,54.05,54.05,0,66.67,60,0,38.89,37.5,0,40.6,55.34,0
TWIGGS,62.67,76.67,0,70.37,70.32,100,60,75,0,52.63,43.33,0,50,60,0,46.88,53.57,0,47.03,52.94,25
UNION,38.71,45,100,76.85,78.25,71.43,60.61,75,0,62.35,66.96,0,61.11,85.71,0,77.01,68.04,0,64.27,70.08,57.14
UPSON,59.65,69.71,66.67,72.65,74.83,81.82,58.82,52.63,0,42.55,55,0,46.67,22.22,0,54.41,63.75,0,42.33,51.43,62.5
WALKER,50.84,59.13,100,66.15,66.63,70.59,67.61,60.49,0,46.1,49.09,0,52.94,57.5,0,47.22,56.41,0,44.34,48.83,73.33
WALTON,53.66,64.45,70.59,74.58,77.24,74.42,45.56,61.01,25,51.31,61.45,66.67,46.99,59.02,0,56.21,60.31,66.67,52.05,57.73,80
WARE,50.14,59.08,0,71.99,72.97,56.25,61.82,56.52,0,55.56,42.86,0,56,21.43,0,46.38,47.29,0,31.89,34.86,77.78
WARREN,53.48,70.58,50,75.6,79.62,0,66.67,66.67,0,60,85.71,0,33.33,33.33,0,57.14,33.33,0,39.32,41.67,0
WASHINGTON,58.85,71.77,66.67,78.95,78.97,66.67,47.37,40,0,59.09,77.42,0,30,100,0,62.5,43.75,0,32.71,47.87,0
WAYNE,49.72,61.59,0,71.3,71.84,60,56.76,59.26,0,37.41,37.5,0,72.73,44.44,0,50,49.37,0,43.65,45.61,100
WEBSTER,72.13,81.62,100,83.02,85.29,0,100,33.33,0,50,66.67,100,100,0,0,71.43,62.5,0,41.18,73.08,0
WHEELER,59.65,70.27,0,72.97,71.53,100,0,50,0,73.33,53.85,0,100,100,0,70,71.43,0,32.95,39.73,0
WHITE,39.26,67.52,0,70.2,72.03,63.64,70.97,71.79,100,55.91,64.76,0,50,67.74,0,54.29,60,0,44.19,47.34,50
WHITFIELD,51.83,64.28,0,70.92,72.76,69.23,67.23,66.44,100,49.23,57.9,68.75,52.94,61.54,0,55.38,50.96,100,46.26,51.03,47.62
WILCOX,48.42,64.57,0,75.69,75.65,100,44.44,36.36,0,47.83,50,0,25,100,0,33.33,53.85,0,37.5,42.59,0
WILKES,56.58,70.57,83.33,76.93,78.57,100,77.78,64.71,0,44,45.83,0,28.57,71.43,0,55,51.43,0,38.07,47.37,50
WILKINSON,60.99,77.47,50,74.06,75.34,66.67,25,63.64,0,42.86,46.67,0,75,66.67,0,52.94,40.91,0,37.09,46.26,0
WORTH,48.30,61.03,100,70.43,70.54,100,70,54.17,0,52.38,42.22,0,50,22.22,0,60,52.5,0,29.5,39.6,60
